# Filter transmission for J-PLUS filter J0660
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
6400    0.000     0.000 
6401    0.000     0.000 
6402    0.000     0.000 
6403    0.000     0.000 
6404    0.000     0.000 
6405    0.000     0.000 
6406    0.000     0.000 
6407    0.000     0.000 
6408    0.000     0.000 
6409    0.000     0.000 
6410    0.000     0.000 
6411    0.000     0.000 
6412    0.000     0.000 
6413    0.000     0.000 
6414    0.000     0.000 
6415    0.000     0.000 
6416    0.000     0.000 
6417    0.000     0.000 
6418    0.000     0.000 
6419    0.000     0.000 
6420    0.000     0.000 
6421    0.000     0.000 
6422    0.000     0.000 
6423    0.000     0.000 
6424    0.000     0.000 
6425    0.000     0.000 
6426    0.000     0.000 
6427    0.000     0.000 
6428    0.000     0.000 
6429    0.000     0.000 
6430    0.000     0.000 
6431    0.000     0.000 
6432    0.000     0.000 
6433    0.000     0.000 
6434    0.000     0.000 
6435    0.000     0.000 
6436    0.000     0.000 
6437    0.000     0.000 
6438    0.000     0.000 
6439    0.000     0.000 
6440    0.000     0.000 
6441    0.000     0.000 
6442    0.000     0.000 
6443    0.000     0.000 
6444    0.000     0.000 
6445    0.000     0.000 
6446    0.000     0.000 
6447    0.000     0.000 
6448    0.000     0.000 
6449    0.000     0.000 
6450    0.000     0.000 
6451    0.000     0.000 
6452    0.000     0.000 
6453    0.000     0.000 
6454    0.000     0.000 
6455    0.000     0.000 
6456    0.000     0.000 
6457    0.000     0.000 
6458    0.000     0.000 
6459    0.000     0.000 
6460    0.000     0.000 
6461    0.000     0.000 
6462    0.000     0.000 
6463    0.000     0.000 
6464    0.000     0.000 
6465    0.000     0.000 
6466    0.000     0.000 
6467    0.000     0.000 
6468    0.000     0.000 
6469    0.000     0.000 
6470    0.000     0.000 
6471    0.000     0.000 
6472    0.000     0.000 
6473    0.000     0.000 
6474    0.000     0.000 
6475    0.000     0.000 
6476    0.000     0.000 
6477    0.000     0.000 
6478    0.000     0.000 
6479    0.000     0.000 
6480    0.000     0.000 
6481    0.000     0.000 
6482    0.000     0.000 
6483    0.000     0.000 
6484    0.000     0.000 
6485    0.000     0.000 
6486    0.000     0.000 
6487    0.000     0.000 
6488    0.001     0.000 
6489    0.001     0.001 
6490    0.001     0.001 
6491    0.001     0.001 
6492    0.001     0.001 
6493    0.001     0.001 
6494    0.001     0.001 
6495    0.001     0.001 
6496    0.001     0.001 
6497    0.001     0.001 
6498    0.002     0.001 
6499    0.002     0.002 
6500    0.002     0.002 
6501    0.002     0.002 
6502    0.003     0.002 
6503    0.003     0.003 
6504    0.003     0.003 
6505    0.004     0.003 
6506    0.004     0.004 
6507    0.005     0.005 
6508    0.006     0.006 
6509    0.007     0.007 
6510    0.009     0.008 
6511    0.010     0.009 
6512    0.012     0.011 
6513    0.015     0.013 
6514    0.017     0.016 
6515    0.021     0.019 
6516    0.025     0.023 
6517    0.031     0.028 
6518    0.037     0.034 
6519    0.046     0.041 
6520    0.056     0.051 
6521    0.069     0.063 
6522    0.085     0.077 
6523    0.104     0.095 
6524    0.129     0.117 
6525    0.160     0.146 
6526    0.198     0.179 
6527    0.241     0.219 
6528    0.290     0.263 
6529    0.344     0.312 
6530    0.406     0.369 
6531    0.472     0.429 
6532    0.539     0.489 
6533    0.606     0.550 
6534    0.672     0.611 
6535    0.732     0.665 
6536    0.784     0.712 
6537    0.826     0.750 
6538    0.862     0.783 
6539    0.892     0.811 
6540    0.914     0.830 
6541    0.928     0.843 
6542    0.938     0.853 
6543    0.945     0.859 
6544    0.951     0.864 
6545    0.952     0.865 
6546    0.953     0.866 
6547    0.953     0.867 
6548    0.954     0.868 
6549    0.953     0.867 
6550    0.955     0.869 
6551    0.955     0.868 
6552    0.955     0.868 
6553    0.955     0.868 
6554    0.957     0.871 
6555    0.960     0.873 
6556    0.961     0.874 
6557    0.961     0.874 
6558    0.960     0.873 
6559    0.961     0.874 
6560    0.961     0.874 
6561    0.962     0.875 
6562    0.962     0.875 
6563    0.963     0.877 
6564    0.961     0.875 
6565    0.959     0.873 
6566    0.959     0.873 
6567    0.959     0.873 
6568    0.960     0.874 
6569    0.960     0.874 
6570    0.958     0.873 
6571    0.959     0.873 
6572    0.957     0.872 
6573    0.959     0.873 
6574    0.957     0.872 
6575    0.957     0.872 
6576    0.958     0.873 
6577    0.958     0.872 
6578    0.959     0.874 
6579    0.959     0.874 
6580    0.959     0.874 
6581    0.959     0.874 
6582    0.959     0.874 
6583    0.959     0.874 
