# Filter transmission for J-PLUS filter iSDSS
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
6302    0.000     0.000 
6303    0.000     0.000 
6304    0.000     0.000 
6305    0.000     0.000 
6306    0.000     0.000 
6307    0.000     0.000 
6308    0.000     0.000 
6309    0.000     0.000 
6310    0.000     0.000 
6311    0.000     0.000 
6312    0.000     0.000 
6313    0.000     0.000 
6314    0.000     0.000 
6315    0.000     0.000 
6316    0.000     0.000 
6317    0.000     0.000 
6318    0.000     0.000 
6319    0.000     0.000 
6320    0.000     0.000 
6321    0.000     0.000 
6322    0.000     0.000 
6323    0.000     0.000 
6324    0.000     0.000 
6325    0.000     0.000 
6326    0.000     0.000 
6327    0.000     0.000 
6328    0.000     0.000 
6329    0.000     0.000 
6330    0.000     0.000 
6331    0.000     0.000 
6332    0.000     0.000 
6333    0.000     0.000 
6334    0.000     0.000 
6335    0.000     0.000 
6336    0.000     0.000 
6337    0.000     0.000 
6338    0.000     0.000 
6339    0.000     0.000 
6340    0.000     0.000 
6341    0.000     0.000 
6342    0.000     0.000 
6343    0.000     0.000 
6344    0.000     0.000 
6345    0.000     0.000 
6346    0.000     0.000 
6347    0.000     0.000 
6348    0.000     0.000 
6349    0.000     0.000 
6350    0.000     0.000 
6351    0.000     0.000 
6352    0.000     0.000 
6353    0.000     0.000 
6354    0.000     0.000 
6355    0.000     0.000 
6356    0.000     0.000 
6357    0.000     0.000 
6358    0.000     0.000 
6359    0.000     0.000 
6360    0.000     0.000 
6361    0.000     0.000 
6362    0.000     0.000 
6363    0.000     0.000 
6364    0.000     0.000 
6365    0.000     0.000 
6366    0.000     0.000 
6367    0.000     0.000 
6368    0.000     0.000 
6369    0.000     0.000 
6370    0.000     0.000 
6371    0.000     0.000 
6372    0.000     0.000 
6373    0.000     0.000 
6374    0.000     0.000 
6375    0.000     0.000 
6376    0.000     0.000 
6377    0.000     0.000 
6378    0.000     0.000 
6379    0.000     0.000 
6380    0.000     0.000 
6381    0.000     0.000 
6382    0.000     0.000 
6383    0.000     0.000 
6384    0.000     0.000 
6385    0.000     0.000 
6386    0.000     0.000 
6387    0.000     0.000 
6388    0.000     0.000 
6389    0.000     0.000 
6390    0.000     0.000 
6391    0.000     0.000 
6392    0.000     0.000 
6393    0.000     0.000 
6394    0.000     0.000 
6395    0.000     0.000 
6396    0.000     0.000 
6397    0.000     0.000 
6398    0.000     0.000 
6399    0.000     0.000 
6400    0.000     0.000 
6401    0.000     0.000 
6402    0.000     0.000 
6403    0.000     0.000 
6404    0.000     0.000 
6405    0.000     0.000 
6406    0.000     0.000 
6407    0.000     0.000 
6408    0.000     0.000 
6409    0.000     0.000 
6410    0.000     0.000 
6411    0.000     0.000 
6412    0.000     0.000 
6413    0.000     0.000 
6414    0.000     0.000 
6415    0.000     0.000 
6416    0.000     0.000 
6417    0.000     0.000 
6418    0.000     0.000 
6419    0.000     0.000 
6420    0.000     0.000 
6421    0.000     0.000 
6422    0.000     0.000 
6423    0.000     0.000 
6424    0.000     0.000 
6425    0.000     0.000 
6426    0.000     0.000 
6427    0.000     0.000 
6428    0.000     0.000 
6429    0.000     0.000 
6430    0.000     0.000 
6431    0.000     0.000 
6432    0.000     0.000 
6433    0.000     0.000 
6434    0.000     0.000 
6435    0.000     0.000 
6436    0.000     0.000 
6437    0.000     0.000 
6438    0.000     0.000 
6439    0.000     0.000 
6440    0.000     0.000 
6441    0.000     0.000 
6442    0.000     0.000 
6443    0.000     0.000 
6444    0.000     0.000 
6445    0.000     0.000 
6446    0.000     0.000 
6447    0.000     0.000 
6448    0.000     0.000 
6449    0.000     0.000 
6450    0.000     0.000 
6451    0.000     0.000 
6452    0.000     0.000 
6453    0.000     0.000 
6454    0.000     0.000 
6455    0.000     0.000 
6456    0.000     0.000 
6457    0.000     0.000 
6458    0.000     0.000 
6459    0.000     0.000 
6460    0.000     0.000 
6461    0.000     0.000 
6462    0.000     0.000 
6463    0.000     0.000 
6464    0.000     0.000 
6465    0.000     0.000 
6466    0.000     0.000 
6467    0.000     0.000 
6468    0.000     0.000 
6469    0.000     0.000 
6470    0.000     0.000 
6471    0.000     0.000 
6472    0.000     0.000 
6473    0.000     0.000 
6474    0.000     0.000 
6475    0.000     0.000 
6476    0.000     0.000 
6477    0.000     0.000 
6478    0.000     0.000 
6479    0.000     0.000 
6480    0.000     0.000 
6481    0.000     0.000 
6482    0.000     0.000 
6483    0.000     0.000 
6484    0.000     0.000 
6485    0.000     0.000 
6486    0.000     0.000 
6487    0.000     0.000 
6488    0.000     0.000 
6489    0.000     0.000 
6490    0.000     0.000 
6491    0.000     0.000 
6492    0.000     0.000 
6493    0.000     0.000 
6494    0.000     0.000 
6495    0.000     0.000 
6496    0.000     0.000 
6497    0.000     0.000 
6498    0.000     0.000 
6499    0.000     0.000 
6500    0.000     0.000 
6501    0.000     0.000 
6502    0.000     0.000 
6503    0.000     0.000 
6504    0.000     0.000 
6505    0.000     0.000 
6506    0.000     0.000 
6507    0.000     0.000 
6508    0.000     0.000 
6509    0.000     0.000 
6510    0.000     0.000 
6511    0.000     0.000 
6512    0.000     0.000 
6513    0.000     0.000 
6514    0.000     0.000 
6515    0.000     0.000 
6516    0.000     0.000 
6517    0.000     0.000 
6518    0.000     0.000 
6519    0.000     0.000 
6520    0.000     0.000 
6521    0.000     0.000 
6522    0.000     0.000 
6523    0.000     0.000 
