# Filter transmission for J-PLUS filter rSDSS
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
5002    0.000     0.000 
5003    0.000     0.000 
5004    0.000     0.000 
5005    0.000     0.000 
5006    0.000     0.000 
5007    0.000     0.000 
5008    0.000     0.000 
5009    0.000     0.000 
5010    0.000     0.000 
5011    0.000     0.000 
5012    0.000     0.000 
5013    0.000     0.000 
5014    0.000     0.000 
5015    0.000     0.000 
5016    0.000     0.000 
5017    0.000     0.000 
5018    0.000     0.000 
5019    0.000     0.000 
5020    0.000     0.000 
5021    0.000     0.000 
5022    0.000     0.000 
5023    0.000     0.000 
5024    0.000     0.000 
5025    0.000     0.000 
5026    0.000     0.000 
5027    0.000     0.000 
5028    0.000     0.000 
5029    0.000     0.000 
5030    0.000     0.000 
5031    0.000     0.000 
5032    0.000     0.000 
5033    0.000     0.000 
5034    0.000     0.000 
5035    0.000     0.000 
5036    0.000     0.000 
5037    0.000     0.000 
5038    0.000     0.000 
5039    0.000     0.000 
5040    0.000     0.000 
5041    0.000     0.000 
5042    0.000     0.000 
5043    0.000     0.000 
5044    0.000     0.000 
5045    0.000     0.000 
5046    0.000     0.000 
5047    0.000     0.000 
5048    0.000     0.000 
5049    0.000     0.000 
5050    0.000     0.000 
5051    0.000     0.000 
5052    0.000     0.000 
5053    0.000     0.000 
5054    0.000     0.000 
5055    0.000     0.000 
5056    0.000     0.000 
5057    0.000     0.000 
5058    0.000     0.000 
5059    0.000     0.000 
5060    0.000     0.000 
5061    0.000     0.000 
5062    0.000     0.000 
5063    0.000     0.000 
5064    0.000     0.000 
5065    0.000     0.000 
5066    0.000     0.000 
5067    0.000     0.000 
5068    0.000     0.000 
5069    0.000     0.000 
5070    0.000     0.000 
5071    0.000     0.000 
5072    0.000     0.000 
5073    0.000     0.000 
5074    0.000     0.000 
5075    0.000     0.000 
5076    0.000     0.000 
5077    0.000     0.000 
5078    0.000     0.000 
5079    0.000     0.000 
5080    0.000     0.000 
5081    0.000     0.000 
5082    0.000     0.000 
5083    0.000     0.000 
5084    0.000     0.000 
5085    0.000     0.000 
5086    0.000     0.000 
5087    0.000     0.000 
5088    0.000     0.000 
5089    0.000     0.000 
5090    0.000     0.000 
5091    0.000     0.000 
5092    0.000     0.000 
5093    0.000     0.000 
5094    0.000     0.000 
5095    0.000     0.000 
5096    0.000     0.000 
5097    0.000     0.000 
5098    0.000     0.000 
5099    0.000     0.000 
5100    0.000     0.000 
5101    0.000     0.000 
5102    0.000     0.000 
5103    0.000     0.000 
5104    0.000     0.000 
5105    0.000     0.000 
5106    0.000     0.000 
5107    0.000     0.000 
5108    0.000     0.000 
5109    0.000     0.000 
5110    0.000     0.000 
5111    0.000     0.000 
5112    0.000     0.000 
5113    0.000     0.000 
5114    0.000     0.000 
5115    0.000     0.000 
5116    0.000     0.000 
5117    0.000     0.000 
5118    0.000     0.000 
5119    0.000     0.000 
5120    0.000     0.000 
5121    0.000     0.000 
5122    0.000     0.000 
5123    0.000     0.000 
5124    0.000     0.000 
5125    0.000     0.000 
5126    0.000     0.000 
5127    0.000     0.000 
5128    0.000     0.000 
5129    0.000     0.000 
5130    0.000     0.000 
5131    0.000     0.000 
