# Filter transmission for J-PLUS filter uJAVA
# Authors: Jesus Varela (jvarela@cefca.es), Toni Marin (amarin@cefca.es), César Iñiguez (ciniguez@cefca.es)
# Date: 2015-05-19
# wl[A]   T[ccd]    T[ccd+filter+atm]
3001    0.000     0.000 
3002    0.000     0.000 
3003    0.000     0.000 
3004    0.000     0.000 
3005    0.000     0.000 
3006    0.000     0.000 
3007    0.000     0.000 
3008    0.000     0.000 
3009    0.000     0.000 
3010    0.000     0.000 
3011    0.000     0.000 
3012    0.000     0.000 
3013    0.000     0.000 
3014    0.000     0.000 
3015    0.000     0.000 
3016    0.000     0.000 
3017    0.000     0.000 
3018    0.000     0.000 
3019    0.000     0.000 
3020    0.000     0.000 
3021    0.000     0.000 
3022    0.000     0.000 
3023    0.000     0.000 
3024    0.000     0.000 
3025    0.000     0.000 
3026    0.000     0.000 
3027    0.000     0.000 
3028    0.000     0.000 
3029    0.000     0.000 
3030    0.000     0.000 
3031    0.000     0.000 
3032    0.000     0.000 
3033    0.000     0.000 
3034    0.000     0.000 
3035    0.000     0.000 
3036    0.000     0.000 
3037    0.000     0.000 
3038    0.000     0.000 
3039    0.000     0.000 
3040    0.000     0.000 
3041    0.000     0.000 
3042    0.000     0.000 
3043    0.000     0.000 
3044    0.000     0.000 
3045    0.000     0.000 
3046    0.000     0.000 
3047    0.000     0.000 
3048    0.000     0.000 
3049    0.000     0.000 
3050    0.000     0.000 
3051    0.000     0.000 
3052    0.000     0.000 
3053    0.000     0.000 
3054    0.000     0.000 
3055    0.000     0.000 
3056    0.000     0.000 
3057    0.000     0.000 
3058    0.000     0.000 
3059    0.000     0.000 
3060    0.000     0.000 
3061    0.000     0.000 
3062    0.000     0.000 
3063    0.000     0.000 
3064    0.000     0.000 
3065    0.000     0.000 
3066    0.000     0.000 
3067    0.000     0.000 
3068    0.000     0.000 
3069    0.000     0.000 
3070    0.000     0.000 
3071    0.000     0.000 
3072    0.000     0.000 
3073    0.000     0.000 
3074    0.000     0.000 
3075    0.000     0.000 
3076    0.000     0.000 
3077    0.000     0.000 
3078    0.000     0.000 
3079    0.000     0.000 
3080    0.000     0.000 
3081    0.000     0.000 
3082    0.000     0.000 
3083    0.000     0.000 
3084    0.000     0.000 
3085    0.000     0.000 
3086    0.000     0.000 
3087    0.000     0.000 
3088    0.000     0.000 
3089    0.000     0.000 
3090    0.000     0.000 
3091    0.000     0.000 
3092    0.000     0.000 
3093    0.000     0.000 
3094    0.000     0.000 
3095    0.000     0.000 
3096    0.000     0.000 
