galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,redshift
1,3.51884141E-16,5.83375041E-18,3.49301061E-16,6.75608078E-18,3.91922304E-16,4.69265889E-18,3.71534962E-16,4.79074845E-18,3.22403663E-16,4.45417114E-18,4.23058096E-16,6.62406483E-18,1.62031738E-16,2.23855112E-18,5.00279000000000E-02
2,2.57276226E-16,4.73920311E-18,2.67670273E-16,5.91680224E-18,3.03389096E-16,4.47090707E-18,2.92414964E-16,4.57851004E-18,2.58940301E-16,4.53136364E-18,2.47058653E-16,4.55098850E-18,1.32678222E-16,2.19962049E-18,2.75595000000000E-02
3,5.64936459E-16,7.28455945E-18,6.16595252E-16,9.65438889E-18,7.62780909E-16,7.02547159E-18,7.45418057E-16,6.86555359E-18,7.05992274E-16,-999.000000,6.57657927E-16,8.48015390E-18,2.31632488E-16,2.98677983E-18,5.51341000000000E-02
4,3.65426292E-16,5.38512115E-18,3.79489739E-16,7.33998138E-18,5.19995538E-16,5.74720251E-18,5.10034589E-16,5.63711056E-18,5.10034589E-16,-999.000000,4.62593968E-16,6.81703655E-18,2.98675729E-16,3.30108571E-18,3.88445000000000E-02
5,8.89610011E-16,9.01297236E-18,8.26417912E-16,1.14173854E-17,8.71765886E-16,8.02925940E-18,8.12082303E-16,6.73159748E-18,5.47519344E-16,5.54712365E-18,4.92492484E-16,6.80403451E-18,1.78648606E-16,2.30358013E-18,3.06979000000000E-02
6,2.55387633E-16,4.46919274E-18,2.63268798E-16,6.06198857E-18,3.24190373E-16,4.18026517E-18,3.09599065E-16,4.56242055E-18,2.92145872E-16,4.03614384E-18,2.73652999E-16,4.78883022E-18,1.56027042E-16,2.15559297E-18,4.36973000000000E-02
7,2.35504991E-16,4.33816196E-18,2.38781076E-16,5.71806259E-18,3.05070457E-16,4.21470360E-18,3.00054089E-16,4.69812035E-18,3.01716947E-16,4.16837321E-18,2.85233289E-16,4.99148161E-18,1.59367661E-16,2.20174551E-18,4.57911000000000E-02
8,1.34276467E-16,3.33917614E-18,1.41123802E-16,4.15935405E-18,1.83822958E-16,3.38614345E-18,1.79142982E-16,3.62992909E-18,1.90897324E-16,3.51645852E-18,1.89496001E-16,4.01424175E-18,8.03155516E-17,1.62741375E-18,5.98139000000000E-02
9,4.25794436E-16,5.88256689E-18,4.86182830E-16,8.06023649E-18,4.46272649E-16,5.34341967E-18,4.17252983E-16,5.76456255E-18,3.35119612E-16,4.93850483E-18,2.53746401E-16,4.90789005E-18,9.28110081E-17,1.70964191E-18,3.71259000000000E-02
10,4.27365894E-16,6.69151520E-18,4.37320437E-16,7.65295260E-18,4.94766291E-16,5.46835909E-18,4.66014869E-16,6.00901758E-18,4.09637839E-16,5.65935468E-18,4.36917991E-16,6.43866181E-18,2.28034293E-16,2.73035528E-18,4.34839000000000E-02
11,4.23837658E-16,6.24590225E-18,4.32115129E-16,7.56186182E-18,5.18083414E-16,6.20324165E-18,4.90230006E-16,5.86974021E-18,4.56246409E-16,5.46283932E-18,4.59197472E-16,6.34404641E-18,2.59895913E-16,2.87247567E-18,4.17219000000000E-02
12,1.29300347E-16,3.45361017E-18,1.33659602E-16,4.30867586E-18,1.80634223E-16,3.32740515E-18,1.76522249E-16,3.25165981E-18,1.86552032E-16,3.26459423E-18,1.79970017E-16,4.14396270E-18,1.06659580E-16,1.96474193E-18,4.43111000000000E-02
13,3.66100372E-16,5.39505476E-18,3.51560363E-16,6.79977991E-18,4.26579054E-16,5.10761984E-18,4.01051095E-16,4.80196171E-18,3.81241033E-16,4.56476726E-18,4.26186586E-16,6.28051728E-18,2.57276226E-16,3.08048181E-18,3.86977000000000E-02
14,3.06478411E-16,4.79870965E-18,3.37909395E-16,6.84697263E-18,4.25794436E-16,5.49039643E-18,4.21502415E-16,4.65861669E-18,4.21113838E-16,5.43004285E-18,4.02902683E-16,5.93739325E-18,2.35938936E-16,2.82500150E-18,3.50103000000000E-02
15,2.76184648E-16,4.57875778E-18,2.75930485E-16,5.84525153E-18,2.88137686E-16,4.77692296E-18,2.66194980E-16,3.92279404E-18,2.06442695E-16,3.42253320E-18,2.01929703E-16,4.09165055E-18,1.02046890E-16,1.78578430E-18,3.35439000000000E-02
16,2.26777507E-16,4.17739568E-18,2.21003946E-16,5.29235574E-18,2.51188626E-16,4.39571181E-18,2.34207045E-16,3.66711541E-18,2.08737201E-16,3.46057254E-18,1.87585928E-16,3.97377897E-18,1.02612430E-16,1.70117148E-18,3.34951000000000E-02
17,3.81592816E-16,5.62335951E-18,3.83001167E-16,7.40789869E-18,4.67304424E-16,5.59524240E-18,4.40554303E-16,5.27495145E-18,4.25794436E-16,5.49039643E-18,4.18793683E-16,5.78584797E-18,2.78227506E-16,3.07508405E-18,3.70326000000000E-02
18,4.33710674E-16,5.99193382E-18,5.10505222E-16,7.99327539E-18,6.05898337E-16,6.13858219E-18,5.90472703E-16,5.43845403E-18,5.13333518E-16,6.14636885E-18,4.95221836E-16,6.38562547E-18,1.82641638E-16,2.52328758E-18,1.86639000000000E-02
19,3.99576490E-16,6.25640042E-18,3.96643295E-16,7.30643837E-18,4.67734823E-16,5.60039573E-18,4.33310848E-16,4.78912842E-18,3.69147282E-16,5.43995537E-18,3.44825922E-16,5.71673496E-18,1.71869854E-16,2.37446951E-18,4.69548000000000E-02
20,2.78483681E-16,4.87336601E-18,2.97303615E-16,5.75036151E-18,3.80890229E-16,5.26219260E-18,3.78442409E-16,4.87981719E-18,3.79839167E-16,4.89782698E-18,4.12667120E-16,6.08128711E-18,1.88973077E-16,2.43670886E-18,2.89356000000000E-02
21,2.07013952E-16,4.38533855E-18,2.17169891E-16,5.20054200E-18,2.45923337E-16,4.07706736E-18,2.26986327E-16,3.97218003E-18,1.76685144E-16,3.25466041E-18,1.27409015E-16,3.63778896E-18,6.21154870E-17,1.48747237E-18,3.17678000000000E-02
22,1.67186106E-16,3.84960179E-18,1.78320010E-16,4.59868621E-18,1.92486477E-16,3.72301793E-18,1.68732814E-16,3.26358155E-18,1.20559007E-16,2.66493460E-18,8.03896603E-17,2.88762258E-18,3.98107173E-17,1.17334484E-18,2.04300000000000E-02
23,5.03964804E-16,6.49836191E-18,5.32108480E-16,7.84144060E-18,6.70501911E-16,6.79310539E-18,6.61911673E-16,6.70607441E-18,6.43279807E-16,6.51730807E-18,6.87385183E-16,8.23036686E-18,3.96277641E-16,3.28486656E-18,2.83361000000000E-02
24,3.47056265E-16,5.43406046E-18,3.45461355E-16,6.99999525E-18,4.11149660E-16,4.92287649E-18,3.86545100E-16,4.98429631E-18,3.33580209E-16,4.91581940E-18,2.91608059E-16,4.83445626E-18,1.67186106E-16,2.46374546E-18,3.19378000000000E-02
25,4.45041063E-16,6.14846823E-18,4.26186586E-16,7.85064629E-18,4.80839270E-16,6.20017033E-18,4.45861256E-16,5.74914679E-18,3.58756411E-16,4.62597614E-18,3.13328499E-16,5.77172386E-18,1.63380281E-16,2.40766055E-18,3.16887000000000E-02
26,1.97696908E-16,4.18796829E-18,1.97879006E-16,5.28534538E-18,2.63511738E-16,4.36865845E-18,2.64727892E-16,4.38882057E-18,2.74662953E-16,4.04758251E-18,2.66194980E-16,5.14866702E-18,1.64437021E-16,2.42323346E-18,2.98919000000000E-02
27,3.32966005E-16,4.90676839E-18,2.78740199E-16,6.67495877E-18,3.43874386E-16,4.75079977E-18,3.30521759E-16,4.87074881E-18,3.01716947E-16,4.16837321E-18,2.81319388E-16,5.18209380E-18,1.60694022E-16,2.22006963E-18,2.73266000000000E-02
28,4.46683566E-16,5.34833974E-18,4.74678905E-16,7.86951676E-18,5.88843276E-16,6.50813629E-18,5.85597816E-16,5.93291076E-18,6.20583453E-16,6.28736303E-18,7.74105263E-16,8.55572677E-18,4.79071247E-16,3.97116798E-18,3.16522000000000E-02
29,1.25545146E-16,3.46894030E-18,1.28469394E-16,4.14136370E-18,1.73619930E-16,3.51801693E-18,1.85866054E-16,3.42377872E-18,2.35938936E-16,3.91154025E-18,4.07005313E-16,6.37271731E-18,3.00330963E-16,3.04276527E-18,2.81930000000000E-02
30,7.35868079E-16,8.13311358E-18,7.36545652E-16,1.01757534E-17,8.01678145E-16,7.38372765E-18,7.34513143E-16,6.76511566E-18,6.00897296E-16,6.64136200E-18,7.87770552E-16,7.98119772E-18,3.30521759E-16,3.34863950E-18,3.95111000000000E-02
31,1.66111433E-16,3.82485668E-18,1.66264680E-16,4.74719781E-18,2.13206385E-16,3.92740640E-18,2.00078367E-16,3.31702176E-18,1.84501365E-16,3.56857214E-18,1.61733397E-16,3.57508702E-18,8.01678237E-17,1.69825774E-18,4.92815000000000E-02
