galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,uJAVA,error_uJAVA,gSDSS,error_gSDSS,rSDSS,error_rSDSS,iSDSS,error_iSDSS,zSDSS,error_zSDSS,redshift
1,2.1475E-17,1.7801E-19,2.7311E-17,2.767E-19,3.2414E-17,2.0898E-19,3.5281E-17,2.2746E-19,7.5987E-17,3.4993E-19,1.2869E-16,4.741E-19,1.4007E-16,3.8702E-19,1.4546E-17,9.378E-20,5.9257E-17,1.0915E-19,1.2188E-16,1.1226E-19,1.3688E-16,1.2607E-19,1.4241E-16,1.3116E-19,0.021
2,4.8497E-17,2.278E-18,5.352E-17,2.8097E-18,5.89E-17,2.0072E-18,5.983E-17,2.094E-18,1.2922E-16,3.2133E-18,1.5693E-16,4.3362E-18,1.3394E-16,2.0972E-18,3.9785E-17,9.8936E-19,1.0123E-16,1.1189E-18,1.5549E-16,1.2889E-18,1.47E-16,1.0831E-18,1.3518E-16,1.1206E-18,0.021
3,2.2769E-18,7.5494E-20,2.619E-18,1.0131E-19,2.909E-18,7.5019E-20,3.1055E-18,8.0089E-20,7.6372E-18,1.1255E-19,1.0918E-17,1.7095E-19,1.1731E-17,9.7242E-20,1.7352E-18,3.6757E-20,5.5736E-18,3.5934E-20,1.034E-17,5.7143E-20,1.1559E-17,5.3233E-20,1.1916E-17,5.4876E-20,0.021
4,1.3218E-17,3.6523E-20,1.4641E-17,5.3939E-20,1.6068E-17,4.4398E-20,1.6717E-17,4.6192E-20,3.5056E-17,6.4576E-20,4.2069E-17,7.7495E-20,4.0065E-17,3.6901E-20,1.0964E-17,2.0196E-20,2.7062E-17,2.4925E-20,4.1492E-17,3.8216E-20,4.1225E-17,3.797E-20,3.9918E-17,3.6766E-20,0.021
5,1.0741E-17,3.1657E-19,1.1865E-17,4.0432E-19,1.3585E-17,2.7526E-19,1.3799E-17,2.9232E-19,3.1121E-17,2.9232E-19,3.6868E-17,5.4331E-19,3.3593E-17,3.094E-19,9.0168E-18,1.5779E-19,2.3305E-17,1.5025E-19,3.653E-17,1.6823E-19,3.5209E-17,1.9457E-19,3.3624E-17,1.5484E-19,0.021
6,1.2107E-17,8.9207E-20,1.3811E-17,1.1449E-19,1.5654E-17,8.6509E-20,1.6666E-17,9.21E-20,3.5994E-17,1.3261E-19,4.7406E-17,1.7465E-19,4.5607E-17,1.2602E-19,9.398E-18,4.3279E-20,2.7735E-17,5.1091E-20,4.6114E-17,4.2473E-20,4.6928E-17,4.3223E-20,4.5818E-17,4.22E-20,0.021
7,2.6536E-17,1.4175E-18,3.636E-17,2.0093E-18,4.0311E-17,1.5594E-18,4.2956E-17,1.543E-18,8.7787E-17,2.2639E-18,1.341E-16,3.0878E-18,1.2423E-16,2.174E-18,1.8207E-17,6.8752E-19,6.7085E-17,7.4146E-19,1.2423E-16,9.1536E-19,1.2985E-16,1.0763E-18,1.2771E-16,9.4101E-19,0.021
8,6.2359E-18,2.0677E-19,8.2813E-18,3.2798E-19,8.8247E-18,2.2758E-19,8.8982E-18,2.2947E-19,2.1345E-17,3.3421E-19,3.2606E-17,4.805E-19,3.3304E-17,3.0674E-19,4.8228E-18,1.0661E-19,1.6417E-17,1.0585E-19,3.134E-17,1.4433E-19,3.4332E-17,1.5811E-19,3.4143E-17,1.5723E-19,0.021
9,1.1636E-18,6.0018E-20,1.7007E-18,9.2416E-20,1.9135E-18,6.1683E-20,2.1136E-18,6.8134E-20,5.8914E-18,1.1938E-19,1.2549E-17,2.0805E-19,1.6897E-17,1.2451E-19,8.3449E-19,2.9207E-20,4.3075E-18,3.5706E-20,1.1414E-17,6.3074E-20,1.5157E-17,6.9802E-20,1.8206E-17,6.7074E-20,0.021
10,1.726E-17,4.1333E-19,1.841E-17,5.4259E-19,1.9654E-17,3.8014E-19,2.058E-17,3.791E-19,4.2096E-17,5.8158E-19,4.5065E-17,6.6411E-19,3.7346E-17,3.0957E-19,1.4583E-17,2.2833E-19,3.2647E-17,1.8041E-19,4.4817E-17,2.0639E-19,4.0536E-17,2.2401E-19,3.6936E-17,2.0411E-19,0.021
