galaxy_id,JPAS3518,error_JPAS3518,JPAS3785,error_JPAS3785,JPAS3900,error_JPAS3900,JPAS4000,error_JPAS4000,JPAS4100,error_JPAS4100,JPAS4200,error_JPAS4200,JPAS4300,error_JPAS4300,JPAS4400,error_JPAS4400,JPAS4500,error_JPAS4500,JPAS4600,error_JPAS4600,JPAS4700,error_JPAS4700,JPAS4800,error_JPAS4800,JPAS4900,error_JPAS4900,JPAS5000,error_JPAS5000,JPAS5100,error_JPAS5100,JPAS5200,error_JPAS5200,JPAS5300,error_JPAS5300,JPAS5400,error_JPAS5400,JPAS5500,error_JPAS5500,JPAS5600,error_JPAS5600,JPAS5700,error_JPAS5700,JPAS5800,error_JPAS5800,JPAS5900,error_JPAS5900,JPAS6000,error_JPAS6000,JPAS6100,error_JPAS6100,JPAS6200,error_JPAS6200,JPAS6300,error_JPAS6300,JPAS6400,error_JPAS6400,JPAS6500,error_JPAS6500,JPAS6600,error_JPAS6600,JPAS6700,error_JPAS6700,JPAS6800,error_JPAS6800,JPAS6900,error_JPAS6900,JPAS7000,error_JPAS7000,JPAS7100,error_JPAS7100,JPAS7200,error_JPAS7200,JPAS7300,error_JPAS7300,JPAS7400,error_JPAS7400,JPAS7500,error_JPAS7500,JPAS7600,error_JPAS7600,JPAS7700,error_JPAS7700,JPAS7800,error_JPAS7800,JPAS7900,error_JPAS7900,JPAS8000,error_JPAS8000,JPAS8100,error_JPAS8100,JPAS8200,error_JPAS8200,JPAS8300,error_JPAS8300,JPAS8400,error_JPAS8400,JPAS8500,error_JPAS8500,JPAS8600,error_JPAS8600,JPAS8700,error_JPAS8700,JPAS8800,error_JPAS8800,JPAS8900,error_JPAS8900,JPAS9000,error_JPAS9000,JPAS9100,error_JPAS9100,uj_JPAS,error_uj_JPAS,g_JPAS,error_g_JPAS,r_JPAS,error_r_JPAS
1,-999.0,-999.0,1.69355687E-27,2.65170009E-29,1.77991634E-27,2.78691813E-29,2.02115755E-27,3.16464355E-29,2.1857456E-27,3.22103357E-29,2.27823877E-27,3.35733675E-29,2.282445E-27,3.78397688E-29,2.37246739E-27,3.9332214E-29,2.52347783E-27,3.95115542E-29,2.63026853E-27,3.87610644E-29,2.71643925E-27,4.00309294E-29,2.8444641E-27,4.45374189E-29,2.88668645E-27,4.51985184E-29,2.88935001E-27,4.52402268E-29,2.8444641E-27,4.71572614E-29,2.8392221E-27,4.96853814E-29,3.05351686E-27,5.06230626E-29,3.15355409E-27,5.51860781E-29,3.2478767E-27,5.98280929E-29,3.34195183E-27,5.84829692E-29,3.49300753E-27,6.11263924E-29,3.62743705E-27,6.01378667E-29,3.63077584E-27,6.01932191E-29,3.74282259E-27,6.54980728E-29,3.77050745E-27,6.59825405E-29,3.67789603E-27,6.77493404E-29,3.82295669E-27,6.33793151E-29,3.92644807E-27,7.59442325E-29,5.33089281E-27,8.34688709E-29,6.16026488E-27,9.0781019E-29,4.49572331E-27,7.86735702E-29,4.27759672E-27,8.27360365E-29,4.21502094E-27,7.76435407E-29,4.32114777E-27,7.95984679E-29,4.25010676E-27,8.22043474E-29,4.28153409E-27,8.67556449E-29,4.52480215E-27,8.75174284E-29,4.6515711E-27,8.56851047E-29,4.73805421E-27,9.16420903E-29,4.69894012E-27,9.52134385E-29,4.53732917E-27,8.77597225E-29,4.62167797E-27,8.93911657E-29,4.60467971E-27,9.33034516E-29,4.7206284E-27,9.13050345E-29,4.87079816E-27,1.12154267E-28,4.89779431E-27,1.03753806E-28,4.87528173E-27,9.87866043E-29,4.86183257E-27,9.85140852E-29,4.68165759E-27,1.0779915E-28,4.77309034E-27,1.09904456E-28,3.95549071E-27,9.83648196E-29,5.94292388E-28,2.7915536E-29,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.78483461E-27,1.5389563E-29,4.14954048E-27,2.67530778E-29
2,-999.0,-999.0,1.25313993E-27,2.07753193E-29,1.36898972E-27,2.52177219E-29,1.53602918E-27,2.82947005E-29,1.68267344E-27,3.25457876E-29,1.8365381E-27,3.04472492E-29,1.77827949E-27,3.27571133E-29,1.87068349E-27,3.44592592E-29,2.03610296E-27,3.37557561E-29,2.13796173E-27,3.34753046E-29,2.16770618E-27,3.59375579E-29,2.20191301E-27,4.05607316E-29,2.2100412E-27,3.86749363E-29,2.3014391E-27,4.02743669E-29,2.28664911E-27,4.0015546E-29,2.28875897E-27,4.21604963E-29,2.42549248E-27,4.46792215E-29,2.51883846E-27,4.63987128E-29,2.56330394E-27,5.43004693E-29,2.60855463E-27,5.04539148E-29,2.68410559E-27,5.43873528E-29,2.78997627E-27,5.1393254E-29,2.77715227E-27,5.37148843E-29,2.83661112E-27,5.48649173E-29,2.87078155E-27,5.81699214E-29,2.80284706E-27,5.1630348E-29,2.8392221E-27,5.75304404E-29,2.92684787E-27,6.20017034E-29,3.34502793E-27,6.77794511E-29,3.59418279E-27,6.95176511E-29,3.17102536E-27,6.42536873E-29,3.087445E-27,7.10910456E-29,3.09884921E-27,6.56453462E-29,3.14195518E-27,6.65584958E-29,3.08176871E-27,7.09603471E-29,3.0619636E-27,7.0504317E-29,3.16518863E-27,7.28811553E-29,3.22107142E-27,7.12011847E-29,3.33272509E-27,7.67388291E-29,3.30217252E-27,7.90767516E-29,3.1506469E-27,7.25463264E-29,3.07043423E-27,7.06993535E-29,2.96756145E-27,7.6530299E-29,2.98950492E-27,7.15893258E-29,3.23593825E-27,8.34514533E-29,3.32966016E-27,8.58684472E-29,3.3573689E-27,9.27675195E-29,3.31130721E-27,8.53951439E-29,3.20037133E-27,8.84295248E-29,3.2478767E-27,8.97421363E-29,3.29305594E-27,8.49244647E-29,3.34195183E-27,9.23415339E-29,2.56094121E-27,7.54788496E-29,2.77204032E-28,1.94038886E-29,-999.0,-999.0,-999.0,-999.0,2.21207576E-27,1.22243814E-29,2.97577708E-27,1.91855423E-29
3,-999.0,-999.0,2.76185095E-27,3.30688611E-29,3.13617219E-27,3.7550774E-29,3.81944071E-27,4.57318565E-29,4.2461979E-27,5.08416015E-29,4.57930944E-27,5.06123917E-29,4.55406858E-27,5.03334208E-29,4.8439507E-27,5.79987604E-29,5.33580008E-27,5.89734374E-29,5.57186131E-27,6.67143577E-29,5.72796526E-27,6.33078089E-29,5.83983174E-27,6.45442018E-29,5.88301456E-27,6.50214773E-29,6.14893964E-27,6.79605909E-29,6.17162517E-27,6.82113229E-29,6.26326246E-27,7.49928171E-29,6.71118793E-27,7.41747784E-29,6.96306028E-27,7.69585777E-29,7.02100535E-27,8.40656023E-29,6.98232189E-27,7.71714712E-29,6.98232189E-27,8.36024221E-29,7.00809699E-27,9.68204344E-29,6.97588466E-27,8.35253488E-29,7.1515418E-27,8.56285666E-29,7.16472979E-27,9.23854391E-29,6.969469E-27,8.34485403E-29,7.07946425E-27,9.12859858E-29,7.27778959E-27,9.38432838E-29,8.71766334E-27,1.12409706E-28,9.57633305E-27,1.14661672E-28,7.85596916E-27,1.08534217E-28,7.6842078E-27,1.06161255E-28,7.67714194E-27,9.89927209E-29,7.82707482E-27,1.08135032E-28,7.60676153E-27,9.80851986E-29,7.5787847E-27,1.0470477E-28,7.88496981E-27,1.08934871E-28,8.06120011E-27,1.26218876E-28,8.18840701E-27,1.13127018E-28,8.12830259E-27,1.12296642E-28,7.87045601E-27,1.15983329E-28,8.00202938E-27,1.17922259E-28,7.94327542E-27,1.24372451E-28,8.04636197E-27,1.18575583E-28,8.19596282E-27,1.35877668E-28,8.21107675E-27,1.36128243E-28,8.04636197E-27,1.40808494E-28,8.00202938E-27,1.32662532E-28,7.62078923E-27,1.40380119E-28,7.69839574E-27,1.34719197E-28,3.98473981E-27,9.54220949E-29,1.28824852E-29,6.64451614E-31,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.89928828E-27,2.17337824E-29,7.5231546E-27,3.46454063E-29
4,-999.0,-999.0,1.77337376E-27,2.77667369E-29,1.92308939E-27,2.8339689E-29,2.48656777E-27,3.66434172E-29,2.90535757E-27,3.74630629E-29,3.08460561E-27,3.97743714E-29,3.11315193E-27,4.01424648E-29,3.46098586E-27,4.78152854E-29,3.86188744E-27,4.97970132E-29,4.08883825E-27,5.6489385E-29,4.22279361E-27,5.05613786E-29,4.34910688E-27,5.60794568E-29,4.35712684E-27,5.2169807E-29,4.47506925E-27,5.77036718E-29,4.51231943E-27,5.81839987E-29,4.47095354E-27,5.76506004E-29,4.91134284E-27,6.33291928E-29,5.10034629E-27,7.04638785E-29,5.19039507E-27,7.1707951E-29,5.2625951E-27,6.78584022E-29,5.54626262E-27,7.15161525E-29,5.8452074E-27,8.61381496E-29,5.8884295E-27,7.59282112E-29,6.06456581E-27,7.81994002E-29,6.11504713E-27,7.88503344E-29,5.953883E-27,8.77396567E-29,6.05898832E-27,8.37080112E-29,6.26326246E-27,8.07614889E-29,6.57051261E-27,9.07749825E-29,6.72976776E-27,9.29751769E-29,6.54032636E-27,9.63818159E-29,6.54032636E-27,9.63818159E-29,6.6435485E-27,9.17840072E-29,6.78578613E-27,9.99990434E-29,6.62520671E-27,9.1530603E-29,6.59478318E-27,9.71843088E-29,6.89286706E-27,1.01577036E-28,7.08598083E-27,1.1747572E-28,7.31812626E-27,1.07843892E-28,7.26440976E-27,1.07052286E-28,7.05342568E-27,1.10439576E-28,7.10558294E-27,1.11256218E-28,7.10558294E-27,1.17800685E-28,7.23101876E-27,1.19880244E-28,7.3994552E-27,1.22672698E-28,7.50240078E-27,1.31289356E-28,7.4748076E-27,1.30806478E-28,7.4131008E-27,1.36554355E-28,7.32486316E-27,1.28182494E-28,7.23101876E-27,1.33200288E-28,7.48857491E-27,1.37944636E-28,6.04226046E-27,1.16867668E-28,7.17794235E-28,3.23945299E-29,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,4.29337817E-27,1.97717367E-29,6.18871125E-27,2.85000648E-29
5,-999.0,-999.0,4.28548494E-27,4.34178457E-29,4.28153409E-27,4.33778225E-29,4.60044498E-27,5.0845995E-29,4.87079816E-27,4.48617033E-29,5.08627583E-27,5.1530964E-29,4.97966174E-27,5.50372519E-29,5.04428709E-27,5.11055622E-29,5.11445488E-27,6.12376268E-29,5.19517291E-27,5.74191698E-29,5.17130486E-27,5.71553716E-29,5.25775562E-27,5.81108615E-29,5.25290844E-27,5.80572846E-29,5.36043927E-27,6.41829094E-29,4.87978032E-27,6.29222077E-29,4.76430425E-27,6.14332111E-29,4.88427235E-27,5.84815549E-29,4.90230252E-27,6.32126199E-29,4.88876824E-27,6.75408224E-29,4.83058821E-27,6.22879026E-29,4.90681536E-27,7.23095032E-29,5.01648398E-27,6.93052812E-29,4.95678362E-27,6.84804957E-29,4.93855276E-27,7.73257743E-29,4.87528173E-27,6.73545007E-29,4.75553472E-27,7.44601591E-29,4.81282112E-27,7.53571248E-29,4.83058821E-27,7.11861745E-29,6.40323327E-27,8.2566338E-29,7.17134036E-27,9.90757225E-29,5.43000617E-27,-999.0,4.98424507E-27,-999.0,4.77309034E-27,-999.0,4.74679177E-27,9.18110786E-29,4.6515711E-27,8.14008374E-29,4.61742744E-27,8.50561562E-29,4.69029076E-27,8.20784338E-29,4.72497368E-27,8.70372159E-29,4.78629336E-27,9.69834584E-29,4.74679177E-27,8.74391334E-29,4.61317075E-27,8.92266311E-29,4.65586323E-27,9.43405769E-29,4.56246679E-27,9.2448104E-29,4.59197705E-27,9.72754414E-29,4.59197705E-27,9.30460752E-29,4.60044498E-27,1.0169199E-28,4.51647366E-27,1.03995643E-28,4.41773624E-27,1.05791019E-28,4.30526424E-27,9.91323689E-29,4.38934572E-27,1.0106841E-28,4.42588254E-27,1.05986092E-28,4.51647366E-27,9.98358148E-29,2.60855463E-27,7.92847279E-29,2.01371925E-29,1.33538669E-30,-999.0,-999.0,-999.0,-999.0,5.04428709E-27,1.85838412E-29,5.20475326E-27,2.87625269E-29
6,-999.0,-999.0,1.23594744E-27,2.27669926E-29,1.33413655E-27,2.45756997E-29,1.61882501E-27,2.83288647E-29,1.81300901E-27,3.17270146E-29,1.88625097E-27,3.3008724E-29,1.89147313E-27,3.31001063E-29,2.04927247E-27,3.20866459E-29,2.23254223E-27,3.90686986E-29,2.33775597E-27,3.66035986E-29,2.44118092E-27,4.04713835E-29,2.52115689E-27,4.1797278E-29,2.53746374E-27,3.97305415E-29,2.56803094E-27,4.25743847E-29,2.57513474E-27,4.5063944E-29,2.57750536E-27,4.51054298E-29,2.80543339E-27,4.39262942E-29,2.9000162E-27,5.07492591E-29,2.97851633E-27,5.21229768E-29,3.04508668E-27,4.76786828E-29,3.13039921E-27,6.05472833E-29,3.24190555E-27,5.67321966E-29,3.22700444E-27,5.64714257E-29,3.33272509E-27,6.13910633E-29,3.37908453E-27,6.53572813E-29,3.29002722E-27,6.06045376E-29,3.34502793E-27,6.46985711E-29,3.47376248E-27,6.07896074E-29,3.79838837E-27,6.2972005E-29,3.98107515E-27,7.33341039E-29,3.65425986E-27,-999.0,3.63747923E-27,-999.0,3.671126E-27,-999.0,3.74282259E-27,8.27344055E-29,3.64082804E-27,7.37731738E-29,3.62409287E-27,7.67719912E-29,3.79139686E-27,7.68241177E-29,3.95913188E-27,8.02228845E-29,4.08507768E-27,8.65373889E-29,4.04389667E-27,8.56650269E-29,3.89045244E-27,8.59977373E-29,3.96277651E-27,8.75964457E-29,3.95913188E-27,8.75158757E-29,4.05508325E-27,9.71066096E-29,4.11907304E-27,9.48451525E-29,4.16101941E-27,9.19785743E-29,4.08507768E-27,9.02998917E-29,4.10392329E-27,9.07164703E-29,3.95913188E-27,8.75158757E-29,3.99576268E-27,9.56860617E-29,4.11907304E-27,9.48451525E-29,2.13205914E-27,7.46205589E-29,4.90681548E-30,3.5702815E-31,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.48427552E-27,1.37286139E-29,3.46098586E-27,-999.0
7,-999.0,-999.0,1.14182618E-27,2.20848749E-29,1.217867E-27,2.35556369E-29,1.4914207E-27,2.74729814E-29,1.70765429E-27,2.98833429E-29,1.80135771E-27,3.15231218E-29,1.82978328E-27,3.03352684E-29,2.04927247E-27,3.39740933E-29,2.27823877E-27,3.35733675E-29,2.41434404E-27,3.55790881E-29,2.50957415E-27,3.69824531E-29,2.56330394E-27,4.01351342E-29,2.62784378E-27,4.84066633E-29,2.67916519E-27,4.19492398E-29,2.66685638E-27,4.66690381E-29,2.65216288E-27,5.12973788E-29,2.90535757E-27,5.08427269E-29,3.03668635E-27,5.59378288E-29,3.12463722E-27,5.468004E-29,3.20037133E-27,5.30577089E-29,3.26587798E-27,6.01596899E-29,3.39468803E-27,6.56590805E-29,3.42294566E-27,5.99003273E-29,3.51236736E-27,6.47001901E-29,3.53182657E-27,6.50586478E-29,3.42609648E-27,5.99554691E-29,3.51560061E-27,6.79977372E-29,3.65763178E-27,6.40072586E-29,3.96277651E-27,6.56973283E-29,4.14954048E-27,7.26154913E-29,3.85123396E-27,7.09423457E-29,3.83706913E-27,7.77495571E-29,3.91922083E-27,7.58044401E-29,3.98473981E-27,7.707169E-29,3.86545079E-27,7.47644379E-29,3.86188744E-27,7.46955197E-29,4.05508325E-27,8.59020065E-29,4.1956561E-27,8.11511707E-29,4.29337817E-27,9.09499833E-29,4.23837284E-27,8.97847656E-29,4.12287367E-27,8.73380521E-29,4.1956561E-27,9.27442037E-29,4.18793312E-27,9.2573482E-29,4.28942963E-27,9.87677542E-29,4.38530897E-27,9.69364416E-29,4.45041272E-27,9.42765699E-29,4.38126645E-27,9.28117918E-29,4.36516182E-27,9.64911064E-29,4.20726214E-27,8.91257184E-29,4.28548494E-27,1.02624008E-28,4.32114777E-27,1.11437882E-28,1.6672477E-27,6.7566034E-29,2.22023682E-31,3.29231047E-32,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.55152765E-27,1.41002612E-29,3.63412619E-27,2.34300768E-29
8,-999.0,-999.0,6.48633416E-28,1.67275773E-29,7.01454838E-28,1.80897845E-29,8.92070913E-28,2.13623186E-29,1.02423545E-27,2.35838909E-29,1.08043803E-27,2.48780045E-29,1.09345327E-27,2.31634754E-29,1.23026922E-27,2.71948741E-29,1.39315696E-27,2.6946044E-29,1.50244915E-27,2.90599417E-29,1.56027115E-27,3.01783171E-29,1.60103221E-27,3.24413089E-29,1.62330318E-27,3.88730543E-29,1.67803137E-27,3.40015288E-29,1.6811221E-27,3.8709266E-29,1.70137345E-27,4.07425966E-29,1.87585423E-27,4.14654101E-29,1.96245598E-27,4.51872156E-29,2.01743723E-27,4.0878823E-29,2.07014127E-27,4.76667601E-29,2.1517901E-27,4.95467987E-29,2.26986463E-27,5.01749378E-29,2.26359766E-27,4.58667077E-29,2.34207237E-27,5.17710793E-29,2.38122017E-27,5.48296186E-29,2.31846239E-27,5.76553309E-29,2.38341226E-27,5.26848849E-29,2.49114782E-27,5.96552286E-29,2.65949952E-27,5.63382597E-29,2.75676726E-27,6.09378318E-29,2.61095588E-27,5.53099154E-29,2.63268961E-27,6.06199149E-29,2.7064483E-27,6.23182722E-29,2.77459829E-27,6.89984805E-29,2.68658233E-27,6.92841381E-29,2.69898205E-27,6.96039207E-29,2.86549756E-27,6.86197344E-29,2.97577708E-27,7.12605936E-29,3.08460561E-27,7.38666838E-29,3.05351686E-27,7.03098161E-29,2.96209913E-27,7.91176234E-29,3.03389356E-27,7.82409341E-29,3.05914115E-27,7.88920489E-29,3.15355409E-27,8.13268516E-29,3.23593825E-27,8.04710466E-29,3.23891689E-27,8.35282678E-29,3.19448049E-27,8.53245225E-29,3.1390659E-27,8.09532212E-29,2.97303379E-27,7.39331584E-29,2.85233268E-27,8.40670587E-29,8.00939519E-28,4.49992418E-29,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.60250583E-27,1.18076997E-29,2.44568258E-27,1.57678969E-29
9,-999.0,-999.0,2.04361929E-27,3.01158869E-29,2.31846239E-27,3.41661236E-29,2.47742249E-27,3.42268536E-29,2.55622711E-27,3.53155818E-29,2.48656777E-27,3.89336308E-29,2.57750536E-27,3.79835214E-29,2.74915637E-27,4.05130649E-29,2.82878568E-27,4.1686528E-29,2.87606938E-27,4.23833234E-29,2.92414983E-27,4.3091861E-29,2.91339467E-27,4.5616704E-29,2.92684787E-27,4.85230737E-29,2.88137917E-27,5.04231119E-29,2.89200972E-27,4.79455024E-29,3.03109672E-27,5.02513731E-29,3.09314518E-27,5.12800454E-29,3.15355409E-27,4.9377022E-29,3.19448049E-27,5.29600461E-29,3.25086652E-27,5.98831624E-29,3.32047463E-27,6.11653985E-29,3.32659793E-27,6.12781917E-29,3.38843954E-27,5.61756209E-29,3.32047463E-27,6.42236669E-29,3.29002722E-27,6.36347656E-29,3.36977035E-27,7.1384473E-29,3.39468803E-27,6.25324536E-29,4.45860987E-27,7.80240864E-29,3.81944071E-27,6.68388571E-29,3.69147307E-27,7.1399411E-29,3.48337171E-27,6.41660695E-29,3.52533349E-27,6.81859788E-29,3.486578E-27,7.06476544E-29,3.42294566E-27,7.56635824E-29,3.51560061E-27,8.09496883E-29,3.60412521E-27,7.96685297E-29,3.63412619E-27,7.69845356E-29,3.65425986E-27,7.74110449E-29,3.55467079E-27,7.85753417E-29,3.53508563E-27,7.48864757E-29,3.52533349E-27,8.76676931E-29,3.59418279E-27,8.60694722E-29,3.63077584E-27,8.36016999E-29,3.65089911E-27,8.7427662E-29,3.60412521E-27,8.63075713E-29,3.58756722E-27,8.92153283E-29,3.55140172E-27,9.15869304E-29,3.57766216E-27,8.56738621E-29,3.63412619E-27,9.7067459E-29,3.22700444E-27,9.2137608E-29,6.22874055E-28,3.49949807E-29,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.91877379E-27,1.34414488E-29,3.56780063E-27,2.30024617E-29
10,-999.0,-999.0,2.06633082E-27,2.85474126E-29,2.23048899E-27,3.49240583E-29,2.5397997E-27,3.5088626E-29,2.77204644E-27,4.08503855E-29,2.87872312E-27,3.97710251E-29,2.85495849E-27,3.94427052E-29,3.00884126E-27,4.15686761E-29,3.25986639E-27,4.50367132E-29,3.39781266E-27,4.38130164E-29,3.46098586E-27,4.78152854E-29,3.54813534E-27,5.22872526E-29,3.57766216E-27,5.27223804E-29,3.59087712E-27,5.2917122E-29,3.60412521E-27,5.31123511E-29,3.61410345E-27,5.6588113E-29,3.89761844E-27,5.7437424E-29,4.02902349E-27,5.56630106E-29,4.14190263E-27,6.10373301E-29,4.22668052E-27,6.22866689E-29,4.34110156E-27,6.39728386E-29,4.50401405E-27,6.22252497E-29,4.46683166E-27,6.58256614E-29,4.60044498E-27,7.62689804E-29,4.65586323E-27,7.28995419E-29,4.56667649E-27,7.57091487E-29,4.64300918E-27,6.84219113E-29,4.7951199E-27,7.94964237E-29,5.78628318E-27,8.526982E-29,6.36208347E-27,8.78954163E-29,5.2095442E-27,7.67706792E-29,5.12389733E-27,8.49471004E-29,5.16178653E-27,8.55752545E-29,5.2625951E-27,9.20935463E-29,5.11445488E-27,9.42117262E-29,5.13333516E-27,9.45595251E-29,5.38516783E-27,9.42385327E-29,5.53605365E-27,9.17800832E-29,5.72796526E-27,1.00237359E-28,5.70688557E-27,1.05124707E-28,5.48529038E-27,9.59906355E-29,5.59756555E-27,1.03110967E-28,5.62858958E-27,1.08866573E-28,5.73851511E-27,1.00421978E-28,5.8884295E-27,1.0846888E-28,5.95936343E-27,1.09775515E-28,5.8884295E-27,1.0846888E-28,5.85058767E-27,1.13160385E-28,5.7544025E-27,1.16600012E-28,5.87760385E-27,1.19096402E-28,6.05340273E-27,1.22658566E-28,3.18566108E-27,8.50889572E-29,8.16581808E-30,4.66301776E-31,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,3.53182657E-27,1.62646619E-29,4.91586377E-27,2.71660634E-29
