galaxy_id,JPAS3518,error_JPAS3518,JPAS3785,error_JPAS3785,JPAS3900,error_JPAS3900,JPAS4000,error_JPAS4000,JPAS4100,error_JPAS4100,JPAS4200,error_JPAS4200,JPAS4300,error_JPAS4300,JPAS4400,error_JPAS4400,JPAS4500,error_JPAS4500,JPAS4600,error_JPAS4600,JPAS4700,error_JPAS4700,JPAS4800,error_JPAS4800,JPAS4900,error_JPAS4900,JPAS5000,error_JPAS5000,JPAS5100,error_JPAS5100,JPAS5200,error_JPAS5200,JPAS5300,error_JPAS5300,JPAS5400,error_JPAS5400,JPAS5500,error_JPAS5500,JPAS5600,error_JPAS5600,JPAS5700,error_JPAS5700,JPAS5800,error_JPAS5800,JPAS5900,error_JPAS5900,JPAS6000,error_JPAS6000,JPAS6100,error_JPAS6100,JPAS6200,error_JPAS6200,JPAS6300,error_JPAS6300,JPAS6400,error_JPAS6400,JPAS6500,error_JPAS6500,JPAS6600,error_JPAS6600,JPAS6700,error_JPAS6700,JPAS6800,error_JPAS6800,JPAS6900,error_JPAS6900,JPAS7000,error_JPAS7000,JPAS7100,error_JPAS7100,JPAS7200,error_JPAS7200,JPAS7300,error_JPAS7300,JPAS7400,error_JPAS7400,JPAS7500,error_JPAS7500,JPAS7600,error_JPAS7600,JPAS7700,error_JPAS7700,JPAS7800,error_JPAS7800,JPAS7900,error_JPAS7900,JPAS8000,error_JPAS8000,JPAS8100,error_JPAS8100,JPAS8200,error_JPAS8200,JPAS8300,error_JPAS8300,JPAS8400,error_JPAS8400,JPAS8500,error_JPAS8500,JPAS8600,error_JPAS8600,JPAS8700,error_JPAS8700,JPAS8800,error_JPAS8800,JPAS8900,error_JPAS8900,JPAS9000,error_JPAS9000,JPAS9100,error_JPAS9100,JPAS10069,error_JPAS10069,uj_JPAS,error_uj_JPAS,g_JPAS,error_g_JPAS,r_JPAS,error_r_JPAS,redshift
1,8.04E-43,1.5E-44,7.23E-43,2.4E-44,5.96E-43,2.4E-44,4.79E-43,2.24E-44,3.88E-43,2.4E-44,4.48E-43,2.8E-44,6.46E-43,3.1E-44,1.034E-42,4.2E-44,1.197E-42,4.6E-44,1.904E-42,5.7E-44,2.717E-42,7.3E-44,3.488E-42,8.7E-44,3.982E-42,1.02E-43,5.046E-42,1.16E-43,6.191E-42,1.32E-43,6.928E-42,1.6E-43,7.81E-42,1.65E-43,9.502E-42,1.92E-43,1.1247E-41,2.07E-43,1.3116E-41,2.3E-43,1.5046E-41,2.5E-43,1.7243E-41,2.86E-43,1.9615E-41,3.25E-43,2.0884E-41,3.27E-43,2.2625E-41,3.76E-43,2.7964E-41,4.37E-43,3.1117E-41,4.88E-43,3.3373E-41,5.23E-43,3.6694E-41,5.41E-43,3.8851E-41,6.08E-43,4.217E-41,6.21E-43,4.5562E-41,7.13E-43,4.9911E-41,6.9E-43,5.5438E-41,7.15E-43,6.3358E-41,8.76E-43,8.3139E-41,9.95E-43,1.02E-40,1.128E-42,1.1711E-40,1.295E-42,1.2572E-40,1.274E-42,1.4555E-40,1.474E-42,1.7989E-40,1.656E-42,1.7243E-40,1.747E-42,2.0521E-40,1.89E-42,2.1949E-40,2.022E-42,2.3068E-40,2.124E-42,2.1291E-40,2.157E-42,2.4401E-40,2.248E-42,2.8537E-40,2.629E-42,3.106E-40,2.574E-42,3.4214E-40,2.836E-42,3.6191E-40,3.334E-42,3.9392E-40,3.265E-42,4.2015E-40,3.482E-42,4.3914E-40,3.64E-42,4.6026E-40,3.816E-42,5.5438E-40,2.043E-42,6.39E-43,1.1E-44,4.284E-42,3.2E-44,2.8987E-41,1.6E-43,0.09
2,2.375E-42,1.08E-43,2.326E-42,1.9E-43,2.238E-42,2.06E-43,1.725E-42,1.9E-43,1.32E-42,2.05E-43,2.005E-42,2.55E-43,2.796E-42,2.89E-43,3.002E-42,3.21E-43,3.3E-42,3.74E-43,3.765E-42,4.61E-43,5.789E-42,5.02E-43,8.72E-42,5.79E-43,9.633E-42,6.47E-43,1.2375E-41,8.21E-43,1.4261E-41,9.73E-43,1.4634E-41,1.065E-42,1.7449E-41,1.093E-42,1.9942E-41,1.267E-42,2.4086E-41,1.464E-42,2.7125E-41,1.65E-42,3.6389E-41,1.743E-42,4.291E-41,2.134E-42,4.6705E-41,2.323E-42,5.2163E-41,2.594E-42,5.3231E-41,2.696E-42,6.7883E-41,2.875E-42,7.5677E-41,3.346E-42,7.3886E-41,3.743E-42,7.6588E-41,4.232E-42,8.491E-41,3.91E-42,9.242E-41,4.511E-42,9.5447E-41,4.748E-42,1.195E-40,4.732E-42,1.3371E-40,5.789E-42,1.5002E-40,5.803E-42,2.0145E-40,7.421E-42,2.3777E-40,8.102E-42,2.6703E-40,8.853E-42,2.5595E-40,9.194E-42,3.2372E-40,1.0137E-41,4.1934E-40,1.1973E-41,4.0009E-40,1.216E-41,4.5098E-40,1.3291E-41,4.9907E-40,1.471E-41,5.1875E-40,1.4812E-41,4.945E-40,1.3664E-41,5.8259E-40,1.6098E-41,6.6583E-40,1.7172E-41,6.7634E-40,1.9933E-41,7.917E-40,2.0417E-41,8.7049E-40,2.2449E-41,8.7692E-40,1.9384E-41,9.3532E-40,2.1537E-41,9.6064E-40,2.7429E-41,1.0494E-39,2.5131E-41,1.195E-39,1.4309E-41,2.082E-42,8.8E-44,9.759E-42,2.34E-43,6.6339E-41,1.038E-42,0.09
3,4.58E-43,2.9E-44,4.27E-43,4.8E-44,3.27E-43,4.5E-44,1.86E-43,4.9E-44,2.26E-43,4.9E-44,2.12E-43,5.9E-44,3.59E-43,6.6E-44,8.5E-43,7.8E-44,8.06E-43,9.4E-44,1.316E-42,1.16E-43,1.0E-42,1.6E-43,1.368E-42,1.794E-43,2.063E-42,2.2E-43,3.223E-42,2.26E-43,3.68E-42,3.05E-43,3.964E-42,3.18E-43,4.106E-42,3.48E-43,6.477E-42,3.94E-43,6.69E-42,4.5E-43,8.746E-42,5.31E-43,9.268E-42,5.63E-43,1.105E-41,6.52E-43,1.2263E-41,6.67E-43,1.4906E-41,7.82E-43,1.674E-41,7.86E-43,1.6001E-41,8.25E-43,1.8406E-41,1.0E-42,2.0672E-41,1.047E-42,2.3151E-41,1.152E-42,2.3976E-41,1.303E-42,2.6337E-41,1.456E-42,2.768E-41,1.376E-42,3.0631E-41,1.551E-42,3.4751E-41,1.568E-42,4.155E-41,1.76E-42,5.8046E-41,2.085E-42,6.5128E-41,2.399E-42,8.2143E-41,2.8E-42,9.2676E-41,2.817E-42,9.9031E-41,3.374E-42,1.184E-40,3.817E-42,1.1412E-40,3.784E-42,1.4235E-40,4.065E-42,1.5044E-40,4.295E-42,1.587E-40,4.969E-42,1.5409E-40,4.542E-42,1.7938E-40,4.791E-42,2.0257E-40,5.783E-42,2.1388E-40,5.909E-42,2.3473E-40,5.62E-42,2.402E-40,6.637E-42,2.5643E-40,7.322E-42,2.9145E-40,7.248E-42,2.9769E-40,7.403E-42,3.1898E-40,8.226E-42,3.5923E-40,3.639E-42,3.49E-43,2.1E-44,2.525E-42,7.1E-44,1.8221E-41,3.2E-43,0.09
4,4.2E-45,0.0,8.4E-45,1.4E-45,8.4E-45,1.4E-45,1.1E-44,2.8E-45,1.3E-44,2.8E-45,2.24E-44,2.8E-45,3.5E-44,4.2E-45,4.8E-44,4.2E-45,5.3E-44,5.6E-45,8.0E-44,8.4E-45,1.11E-43,1.1E-44,1.5E-43,1.3E-44,2.96E-43,1.8E-44,6.11E-43,2.7E-44,9.96E-43,3.8E-44,9.87E-43,3.8E-44,1.19E-42,4.3E-44,1.965E-42,5.2E-44,3.432E-42,7.6E-44,4.278E-42,8.3E-44,4.956E-42,9.1E-44,6.558E-42,1.2E-43,8.457E-42,1.32E-43,1.0375E-41,1.53E-43,1.2156E-41,1.794E-43,1.6535E-41,1.98E-43,1.9806E-41,2.55E-43,2.1165E-41,2.54E-43,2.4981E-41,2.98E-43,2.611E-41,2.89E-43,3.0819E-41,3.12E-43,3.2182E-41,3.56E-43,4.0964E-41,3.77E-43,4.7294E-41,4.36E-43,4.6602E-41,4.72E-43,5.3902E-41,4.96E-43,5.1761E-41,5.24E-43,6.3857E-41,6.47E-43,6.8172E-41,6.28E-43,1.0423E-40,7.68E-43,1.3465E-40,8.69E-43,1.497E-40,9.65E-43,1.6263E-40,1.048E-42,1.7636E-40,1.136E-42,1.9284E-40,1.243E-42,2.138E-40,1.379E-42,2.5799E-40,1.425E-42,3.0144E-40,1.666E-42,3.5287E-40,1.626E-42,3.9519E-40,1.82E-42,4.3935E-40,2.428E-42,4.7908E-40,2.206E-42,5.0676E-40,2.333E-42,5.5874E-40,2.573E-42,6.1717E-40,2.842E-42,7.8489E-40,1.446E-42,8.4E-45,1.4E-45,7.15E-43,9.8E-45,1.775E-41,8.1E-44,0.09
5,3.2E-44,1.4E-45,2.24E-44,2.8E-45,1.3E-44,4.2E-45,1.8E-44,2.8E-45,1.5E-44,4.2E-45,1.5E-44,4.2E-45,2.0E-44,5.6E-45,3.8E-44,5.6E-45,4.1E-44,7.0E-45,7.6E-44,8.4E-45,8.4E-44,1.1E-44,1.04E-43,1.1E-44,1.2E-43,1.4E-44,1.86E-43,1.8E-44,2.58E-43,2.1E-44,2.75E-43,2.1E-44,2.62E-43,2.4E-44,3.83E-43,3.1E-44,4.65E-43,3.1E-44,5.27E-43,3.4E-44,6.78E-43,3.6E-44,7.15E-43,4.2E-44,8.72E-43,4.6E-44,9.47E-43,5.5E-44,1.066E-42,5.7E-44,1.263E-42,6.4E-44,1.138E-42,7.3E-44,1.358E-42,7.6E-44,1.576E-42,7.8E-44,1.582E-42,8.7E-44,1.717E-42,9.0E-44,1.729E-42,1.08E-43,1.993E-42,1.14E-43,2.386E-42,1.2E-43,2.69E-42,1.32E-43,3.477E-42,1.47E-43,4.336E-42,1.75E-43,4.697E-42,1.86E-43,5.052E-42,2.09E-43,6.153E-42,2.16E-43,7.825E-42,2.66E-43,7.473E-42,2.62E-43,9.46E-42,2.7E-43,1.0458E-41,3.18E-43,1.0353E-41,3.15E-43,9.96E-42,3.39E-43,1.0821E-41,3.49E-43,1.3312E-41,3.92E-43,1.4005E-41,4.64E-43,1.5874E-41,4.68E-43,1.7501E-41,4.68E-43,1.7246E-41,5.24E-43,1.8462E-41,5.79E-43,2.0868E-41,5.96E-43,2.2073E-41,5.9E-43,2.6932E-41,3.22E-43,2.24E-44,1.4E-45,1.58E-43,4.2E-45,1.219E-42,2.5E-44,0.09
6,2.8E-44,2.8E-45,3.9E-44,7.0E-45,8.4E-44,9.8E-45,1.61E-43,1.4E-44,2.34E-43,1.8E-44,3.32E-43,2.0E-44,3.48E-43,2.4E-44,2.69E-43,2.5E-44,3.03E-43,2.5E-44,4.5E-43,3.1E-44,5.16E-43,3.6E-44,6.21E-43,4.3E-44,1.051E-42,5.3E-44,2.018E-42,8.0E-44,3.046E-42,1.01E-43,3.097E-42,9.7E-44,3.199E-42,1.1E-43,4.577E-42,1.35E-43,8.199E-42,2.05E-43,1.0486E-41,2.13E-43,1.0641E-41,2.35E-43,1.308E-41,2.77E-43,1.6757E-41,3.39E-43,1.8374E-41,3.56E-43,2.1607E-41,3.78E-43,2.8483E-41,4.72E-43,3.4245E-41,5.04E-43,3.639E-41,5.7E-43,3.9427E-41,5.45E-43,4.1476E-41,6.88E-43,4.8818E-41,6.74E-43,5.0978E-41,7.05E-43,5.8049E-41,8.02E-43,6.9277E-41,9.57E-43,6.7638E-41,8.72E-43,7.9029E-41,1.019E-42,7.2342E-41,9.99E-43,8.7697E-41,1.131E-42,9.0737E-41,1.254E-42,1.357E-40,1.626E-42,1.7418E-40,1.764E-42,1.8905E-40,1.916E-42,1.976E-40,2.002E-42,2.131E-40,1.963E-42,2.2708E-40,2.301E-42,2.3999E-40,1.99E-42,2.8483E-40,2.361E-42,3.1782E-40,2.634E-42,3.6324E-40,3.345E-42,3.8743E-40,3.568E-42,4.2913E-40,3.556E-42,4.5813E-40,3.798E-42,4.6493E-40,3.854E-42,5.0558E-40,3.725E-42,5.5232E-40,4.578E-42,6.359E-40,2.343E-42,9.4E-44,5.6E-45,1.993E-42,4.578E-42,2.9743E-41,4.578E-42,0.09
7,1.1655E-41,1.18E-43,1.3668E-41,2.27E-43,1.4338E-41,2.51E-43,1.5112E-41,2.79E-43,1.5224E-41,3.08E-43,1.7722E-41,3.59E-43,1.9848E-41,4.2E-43,2.0291E-41,4.1E-43,2.046E-41,4.33E-43,2.3818E-41,5.04E-43,2.8295E-41,5.73E-43,2.9793E-41,6.04E-43,3.7472E-41,6.56E-43,4.67E-41,8.17E-43,5.656E-41,9.37E-43,5.7612E-41,9.56E-43,5.9117E-41,1.034E-42,7.3809E-41,1.223E-42,9.114E-41,1.427E-42,1.0887E-40,1.604E-42,1.2317E-40,1.701E-42,1.3419E-40,1.854E-42,1.5237E-40,2.105E-42,1.6862E-40,2.175E-42,1.8168E-40,2.175E-42,2.1683E-40,2.597E-42,2.3884E-40,2.86E-42,2.5616E-40,3.067E-42,2.8191E-40,3.376E-42,3.0571E-40,3.66E-42,3.4333E-40,3.795E-42,3.4555E-40,4.138E-42,3.7889E-40,4.536E-42,4.3986E-40,4.861E-42,4.6785E-40,5.171E-42,5.7665E-40,5.842E-42,6.399E-40,6.482E-42,7.2931E-40,6.718E-42,7.3945E-40,6.81E-42,9.3349E-40,7.738E-42,1.1421E-39,9.467E-42,1.1548E-39,9.572E-42,1.2815E-39,1.1803E-41,1.3568E-39,1.1247E-41,1.4181E-39,1.1755E-41,1.3935E-39,1.1551E-41,1.6E-39,1.3262E-41,1.8002E-39,1.4922E-41,1.9611E-39,1.445E-41,2.0879E-39,1.5385E-41,2.227E-39,1.6409E-41,2.3535E-39,1.7341E-41,2.4395E-39,1.7976E-41,2.6189E-39,1.9296E-41,2.7933E-39,2.0581E-41,3.1544E-39,8.716E-42,1.3455E-41,1.12E-43,4.0786E-41,2.63E-43,2.2642E-40,1.043E-42,0.09
8,1.5155E-41,1.12E-43,1.7449E-41,2.09E-43,1.7938E-41,2.48E-43,1.8629E-41,2.75E-43,1.9327E-41,2.68E-43,2.0805E-41,3.07E-43,2.2355E-41,3.5E-43,2.3909E-41,3.52E-43,2.4852E-41,3.9E-43,2.9119E-41,4.55E-43,3.3991E-41,5.63E-43,3.7134E-41,5.13E-43,4.2284E-41,6.24E-43,5.0092E-41,6.46E-43,5.9344E-41,7.65E-43,5.9837E-41,8.27E-43,6.3822E-41,9.4E-43,7.859E-41,1.086E-42,9.4487E-41,1.131E-42,1.0563E-40,1.265E-42,1.1657E-40,1.396E-42,1.3031E-40,1.56E-42,1.4275E-40,1.578E-42,1.5509E-40,1.857E-42,1.671E-40,1.847E-42,1.9168E-40,2.119E-42,2.1114E-40,2.333E-42,2.2499E-40,2.487E-42,2.3756E-40,2.407E-42,2.5036E-40,2.768E-42,2.7579E-40,3.048E-42,2.9065E-40,3.212E-42,3.2372E-40,3.28E-42,3.5725E-40,3.29E-42,3.9244E-40,3.975E-42,4.9771E-40,4.584E-42,5.9948E-40,4.969E-42,6.8324E-40,5.664E-42,7.0174E-40,5.817E-42,8.4134E-40,6.2E-42,1.0284E-39,7.578E-42,9.589E-40,7.948E-42,1.0879E-39,8.015E-42,1.1786E-39,9.77E-42,1.2184E-39,7.856E-42,1.1678E-39,8.605E-42,1.2911E-39,9.513E-42,1.4729E-39,1.0853E-41,1.558E-39,1.2914E-41,1.6694E-39,1.3838E-41,1.7497E-39,1.2892E-41,1.8373E-39,1.1845E-41,1.9045E-39,1.2278E-41,2.009E-39,1.2952E-41,2.071E-39,1.5259E-41,2.2812E-39,6.303E-42,1.7131E-41,1.11E-43,4.4851E-41,2.06E-43,1.9869E-40,7.31E-43,0.09
9,1.573E-41,5.7E-44,1.7633E-41,9.8E-44,1.8328E-41,1.18E-43,1.8686E-41,1.2E-43,1.9621E-41,1.26E-43,2.0947E-41,1.54E-43,2.2508E-41,1.65E-43,2.3612E-41,1.74E-43,2.4611E-41,1.81E-43,2.9182E-41,2.14E-43,3.391E-41,2.19E-43,3.6469E-41,2.69E-43,4.1107E-41,2.65E-43,4.9331E-41,3.18E-43,5.7163E-41,3.69E-43,5.9037E-41,3.81E-43,6.2333E-41,4.02E-43,7.2698E-41,4.68E-43,8.3468E-41,5.38E-43,9.4345E-41,5.21E-43,1.0518E-40,5.82E-43,1.1704E-40,6.47E-43,1.2821E-40,7.09E-43,1.3968E-40,7.72E-43,1.4721E-40,8.14E-43,1.6335E-40,9.02E-43,1.7994E-40,8.28E-43,1.8738E-40,1.036E-42,2.0641E-40,1.14E-42,2.2035E-40,1.218E-42,2.4006E-40,1.327E-42,2.4656E-40,1.362E-42,2.7035E-40,1.494E-42,2.9917E-40,1.654E-42,3.3629E-40,1.548E-42,4.3283E-40,1.993E-42,5.1135E-40,2.354E-42,5.8119E-40,2.676E-42,5.9693E-40,2.199E-42,7.0197E-40,2.587E-42,8.5728E-40,3.159E-42,8.1719E-40,3.01E-42,9.4432E-40,3.48E-42,9.989E-40,3.68E-42,1.0222E-39,3.765E-42,9.5394E-40,3.514E-42,1.0566E-39,3.893E-42,1.2076E-39,4.449E-42,1.2963E-39,4.776E-42,1.3801E-39,5.084E-42,1.4385E-39,5.3E-42,1.5105E-39,5.565E-42,1.5614E-39,5.752E-42,1.6305E-39,6.007E-42,1.7105E-39,6.302E-42,1.8807E-39,3.464E-42,1.7551E-41,4.9E-44,4.3045E-41,8.0E-44,1.7216E-40,3.17E-43,0.09
10,8.48E-43,6.3E-44,7.99E-43,1.0E-43,6.08E-43,1.08E-43,3.27E-43,1.29E-43,4.12E-43,1.12E-43,3.71E-43,1.47E-43,6.57E-43,1.54E-43,1.659E-42,1.56E-43,1.516E-42,2.1E-43,2.515E-42,2.63E-43,1.743E-42,3.27E-43,2.427E-42,3.67E-43,3.817E-42,4.68E-43,6.14E-42,5.2E-43,6.998E-42,6.0E-43,7.444E-42,6.45E-43,7.437E-42,7.26E-43,1.233E-41,8.63E-43,1.2804E-41,8.84E-43,1.7114E-41,1.12E-42,1.7871E-41,1.333E-42,2.1486E-41,1.345E-42,2.3734E-41,1.487E-42,2.9279E-41,1.537E-42,3.3278E-41,1.778E-42,3.1839E-41,1.935E-42,3.7031E-41,2.183E-42,4.1701E-41,2.305E-42,4.7484E-41,2.406E-42,4.954E-41,2.419E-42,5.4822E-41,2.878E-42,5.7724E-41,2.978E-42,6.4589E-41,3.391E-42,7.409E-41,3.753E-42,8.625E-41,4.211E-42,1.1592E-40,4.912E-42,1.233E-40,5.451E-42,1.5738E-40,6.089E-42,1.7921E-40,5.942E-42,1.9434E-40,6.802E-42,2.3364E-40,7.532E-42,2.3279E-40,7.933E-42,2.8613E-40,8.433E-42,3.0127E-40,8.88E-42,3.1547E-40,9.879E-42,3.1518E-40,9.289E-42,3.7407E-40,1.1715E-41,4.1894E-40,1.3506E-41,4.4932E-40,1.3657E-41,4.9814E-40,1.4223E-41,5.1257E-40,1.558E-41,5.5177E-40,1.6262E-41,6.3293E-40,1.574E-41,6.4947E-40,1.5553E-41,7.0041E-40,1.8709E-41,8.1537E-40,9.763E-42,6.45E-43,4.8E-44,4.762E-42,1.49E-43,3.6826E-41,7.47E-43,0.09
