galaxy_id,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,uJAVA,error_uJAVA,gSDSS,error_gSDSS,rSDSS,error_rSDSS,iSDSS,error_iSDSS,zSDSS,error_zSDSS,redshift
1,7.24E-43,2.5E-44,5.35E-43,3.1E-44,3.97E-43,2.0E-44,6.8E-43,2.8E-44,6.561E-42,1.28E-43,3.8922E-41,5.38E-43,3.3963E-40,1.564E-42,8.18E-43,1.4E-44,3.43E-42,2.8E-44,2.9175E-41,1.35E-43,1.5213E-40,4.2E-43,4.1401E-40,1.143E-42,0.09
2,2.356E-42,2.21E-43,2.109E-42,2.6E-43,1.543E-42,1.96E-43,2.69E-42,2.51E-43,1.4341E-41,8.06E-43,8.4442E-41,4.2E-42,7.8012E-40,1.2215E-41,2.256E-42,1.08E-43,7.954E-42,2.2E-43,6.7138E-41,1.113E-42,3.4783E-40,3.203E-42,9.1995E-40,7.626E-42,0.09
3,4.33E-43,5.0E-44,2.42E-43,6.2E-44,2.07E-43,4.6E-44,3.97E-43,5.5E-44,3.69E-42,2.45E-43,2.3976E-41,1.236E-42,2.2791E-40,3.778E-42,4.5E-43,2.7E-44,1.994E-42,6.6E-44,1.8372E-41,3.04E-43,1.0475E-40,1.061E-42,2.7629E-40,2.036E-42,0.09
4,8.4E-45,1.4E-45,8.4E-45,2.8E-45,1.5E-44,2.8E-45,3.4E-44,4.2E-45,9.63E-43,2.9E-44,2.6231E-41,3.14E-43,3.9775E-40,1.099E-42,2.8E-45,0.0,4.74E-43,1.099E-42,1.8399E-41,6.7E-44,1.2337E-40,3.4E-43,5.3212E-40,9.8E-43,0.09
5,2.4E-44,4.2E-45,1.7E-44,4.2E-45,1.7E-44,2.8E-45,2.1E-44,4.2E-45,2.6E-43,1.7E-44,1.579E-42,8.5E-44,1.5713E-41,2.75E-43,3.1E-44,1.4E-45,1.26E-43,4.2E-45,1.228E-42,2.24E-44,6.746E-42,8.1E-44,1.9547E-41,1.63E-43,0.09
6,3.8E-44,7.0E-45,1.28E-43,1.3E-44,2.38E-43,1.4E-44,3.22E-43,2.1E-44,2.967E-42,8.7E-44,4.1705E-41,6.91E-43,3.9499E-40,2.183E-42,2.5E-44,2.8E-45,1.413E-42,2.0E-44,3.0324E-41,1.68E-43,1.5073E-40,5.55E-43,4.7488E-40,8.74E-43,0.09
7,1.3681E-41,2.52E-43,1.4795E-41,3.4E-43,1.565E-41,2.89E-43,1.9395E-41,3.39E-43,5.5938E-41,8.24E-43,3.0684E-40,3.956E-42,2.1014E-39,9.677E-42,1.11E-41,1.23E-43,3.4714E-41,1.92E-43,2.2872E-40,8.42E-43,9.8019E-40,2.709E-42,2.4553E-39,6.784E-42,0.09
8,1.7417E-41,2.41E-43,1.8389E-41,3.05E-43,1.9506E-41,2.51E-43,2.2355E-41,2.89E-43,6.0004E-41,6.63E-43,2.5106E-40,2.775E-42,1.6633E-39,7.66E-42,1.4368E-41,1.06E-43,3.9064E-41,1.794E-43,1.9979E-40,7.36E-43,8.46E-40,2.337E-42,1.8714E-39,3.447E-42,0.09
9,1.7665E-41,9.8E-44,1.8842E-41,1.56E-43,1.9657E-41,1.1E-43,2.2362E-41,1.44E-43,5.7322E-41,3.17E-43,2.2056E-40,1.219E-42,1.3738E-39,2.531E-42,1.5022E-41,5.5E-44,3.7908E-41,7.0E-44,1.7295E-40,3.18E-43,7.1174E-40,6.56E-43,1.54E-39,1.418E-42,0.09
10,8.09E-43,1.04E-43,4.36E-43,1.23E-43,3.71E-43,9.4E-44,7.37E-43,1.23E-43,6.959E-42,5.38E-43,4.9586E-41,2.648E-42,4.8323E-40,7.566E-42,8.31E-43,5.6E-44,3.737E-42,1.35E-43,3.7339E-41,6.88E-43,2.1036E-40,2.518E-42,6.05E-40,5.015E-42,0.09
11,2.3738E-41,1.05E-42,2.3305E-41,1.288E-42,2.079E-41,1.015E-42,2.8277E-41,1.225E-42,8.4613E-41,3.04E-42,3.1728E-40,1.169E-41,2.1629E-39,3.1874E-41,2.1234E-41,4.7E-43,5.3339E-41,8.35E-43,2.6004E-40,3.114E-42,1.091E-39,9.044E-42,2.4425E-39,1.7997E-41,0.09
12,5.41E-42,7.4E-44,5.787E-42,9.1E-44,5.91E-42,8.1E-44,8.129E-42,9.7E-44,3.5848E-41,2.63E-43,2.2618E-40,1.459E-42,1.5998E-39,4.42E-42,4.287E-42,3.2E-44,1.9809E-41,7.3E-44,1.6752E-40,3.08E-43,7.5868E-40,1.397E-42,1.9005E-39,1.75E-42,0.09
