ID,J0378,error_J0378,J0395,error_J0395,J0410,error_J0410,J0430,error_J0430,J0515,error_J0515,J0660,error_J0660,J0861,error_J0861,redshift
1,1.67803137E-27,2.62739095E-29,1.80634067E-27,3.66014259E-29,2.20596863E-27,3.04765775E-29,2.29297444E-27,3.16786105E-29,2.84184194E-27,4.18789314E-29,6.13196334E-27,9.03639469E-29,3.97008387E-27,6.21619047E-29,5.00279000000000E-02
2,1.22687525E-27,2.37298703E-29,1.38420389E-27,3.18724674E-29,1.70922604E-27,2.67623433E-29,1.80301594E-27,2.65702228E-29,2.28034111E-27,3.78048884E-29,3.58756722E-27,6.60854212E-29,3.28095147E-27,5.43936181E-29,2.75595000000000E-02
3,2.69898205E-27,3.48019603E-29,3.19153555E-27,4.40926885E-29,4.29337817E-27,3.95434735E-29,4.60467971E-27,4.66517258E-29,6.2230113E-27,6.30476519E-29,9.54991545E-27,1.23141144E-28,5.64936767E-27,6.76423731E-29,5.51341000000000E-02
4,1.74421499E-27,2.73101831E-29,1.9642625E-27,3.79922001E-29,2.92954205E-27,3.50767033E-29,3.15355409E-27,3.48543637E-29,4.49572331E-27,4.96885683E-29,6.72976776E-27,9.91735236E-29,7.37904266E-27,7.47598398E-29,3.88445000000000E-02
5,4.23447476E-27,3.90009511E-29,4.27759672E-27,5.90971724E-29,4.90681536E-27,4.51934357E-29,5.01187022E-27,4.15449209E-29,4.82613508E-27,5.33404113E-29,7.13837845E-27,1.05195028E-28,4.4136733E-27,6.09771448E-29,3.06979000000000E-02
6,1.217867E-27,2.46773316E-29,1.36144411E-27,2.88405361E-29,1.82473561E-27,2.68902973E-29,1.91073051E-27,2.99174138E-29,2.57513474E-27,4.26921553E-29,3.9774051E-27,7.32664978E-29,3.844145E-27,5.66494117E-29,4.36973000000000E-02
7,1.12408558E-27,2.27770616E-29,1.23594744E-27,2.95970895E-29,1.71711869E-27,2.53043993E-29,1.85524042E-27,2.73398334E-29,2.65949952E-27,3.91918318E-29,4.1457152E-27,7.63668959E-29,3.92282848E-27,5.41958733E-29,4.57911000000000E-02
8,6.40914193E-28,1.65285053E-29,7.30465602E-28,2.28746446E-29,1.03561818E-27,2.00306284E-29,1.10662529E-27,2.14040301E-29,1.68267344E-27,3.25457876E-29,2.75423216E-27,6.34185319E-29,1.94984441E-27,4.13050795E-29,5.98139000000000E-02
9,2.03235972E-27,3.18218305E-29,2.51651636E-27,4.17203461E-29,2.50957415E-27,3.00482386E-29,2.5798835E-27,3.56424031E-29,2.9539276E-27,4.35306871E-29,3.68807804E-27,7.13337549E-29,2.2511261E-27,4.14672668E-29,3.71259000000000E-02
10,2.03985775E-27,3.00604532E-29,2.26151611E-27,4.16586652E-29,2.78483461E-27,3.0779126E-29,2.87606938E-27,3.44364489E-29,3.61077159E-27,4.65590103E-29,6.33869767E-27,9.9248665E-29,5.62341345E-27,7.25109675E-29,4.34839000000000E-02
