#wavelength   flux
3200.0       0.0
3200.1       0.0
3200.2       0.0
3200.3       0.0
3200.4       0.0
3200.5       0.0
3200.6       0.0
3200.7       0.0
3200.8       0.0
3200.9       0.0
3201.0       0.0
3201.1       0.0
3201.2       0.0
3201.3       0.0
3201.4       0.0
3201.5       0.0
3201.6       0.0
3201.7       0.0
3201.8       0.0
3201.9       0.0
3202.0       0.0
3202.1       0.0
3202.2       0.0
3202.3       0.0
3202.4       0.0
3202.5       0.0
3202.6       0.0
3202.7       0.0
3202.8       0.0
3202.9       0.0
3203.0       0.0
3203.1       0.0
3203.2       0.0
3203.3       0.0
3203.4       0.0
3203.5       0.0
3203.6       0.0
3203.7       0.0
3203.8       0.0
3203.9       0.0
3204.0       0.0
3204.1       0.0
3204.2       0.0
3204.3       0.0
3204.4       0.0
3204.5       0.0
3204.6       0.0
3204.7       0.0
3204.8       0.0
3204.9       0.0
3205.0       0.0
3205.1       0.0
3205.2       0.0
3205.3       0.0
3205.4       0.0
3205.5       0.0
3205.6       0.0
3205.7       0.0
3205.8       0.0
3205.9       0.0
3206.0       0.0
3206.1       0.0
3206.2       0.0
3206.3       0.0
3206.4       0.0
3206.5       0.0
3206.6       0.0
3206.7       0.0
3206.8       0.0
3206.9       0.0
3207.0       0.0
3207.1       0.0
3207.2       0.0
3207.3       0.0
3207.4       0.0
3207.5       0.0
3207.6       0.0
3207.7       0.0
3207.8       0.0
3207.9       0.0
3208.0       0.0
3208.1       0.0
3208.2       0.0
3208.3       0.0
3208.4       0.0
3208.5       0.0
3208.6       0.0
3208.7       0.0
3208.8       0.0
3208.9       0.0
3209.0       0.0
3209.1       0.0
3209.2       0.0
3209.3       0.0
3209.4       0.0
3209.5       0.0
3209.6       0.0
3209.7       0.0
3209.8       0.0
3209.9       0.0
3210.0       0.0
3210.1       0.0
3210.2       0.0
3210.3       0.0
3210.4       0.0
3210.5       0.0
3210.6       0.0
3210.7       0.0
3210.8       0.0
3210.9       0.0
3211.0       0.0
3211.1       0.0
3211.2       0.0
3211.3       0.0
3211.4       0.0
3211.5       0.0
3211.6       0.0
3211.7       0.0
3211.8       0.0
3211.9       0.0
3212.0       0.0
3212.1       0.0
3212.2       0.0
3212.3       0.0
3212.4       0.0
3212.5       0.0
3212.6       0.0
3212.7       0.0
3212.8       0.0
3212.9       0.0
3213.0       0.0
3213.1       0.0
3213.2       0.0
3213.3       0.0
3213.4       0.0
3213.5       0.0
3213.6       0.0
3213.7       0.0
3213.8       0.0
3213.9       0.0
3214.0       0.0
3214.1       0.0
3214.2       0.0
3214.3       0.0
3214.4       0.0
3214.5       0.0
3214.6       0.0
3214.7       0.0
3214.8       0.0
3214.9       0.0
3215.0       0.0
3215.1       0.0
3215.2       0.0
3215.3       0.0
3215.4       0.0
3215.5       0.0
3215.6       0.0
3215.7       0.0
3215.8       0.0
3215.9       0.0
3216.0       0.0
3216.1       0.0
3216.2       0.0
3216.3       0.0
3216.4       0.0
3216.5       0.0
3216.6       0.0
3216.7       0.0
3216.8       0.0
3216.9       0.0
3217.0       0.0
3217.1       0.0
3217.2       0.0
3217.3       0.0
3217.4       0.0
3217.5       0.0
3217.6       0.0
3217.7       0.0
3217.8       0.0
3217.9       0.0
3218.0       0.0
3218.1       0.0
3218.2       0.0
3218.3       0.0
3218.4       0.0
3218.5       0.0
3218.6       0.0
3218.7       0.0
3218.8       0.0
3218.9       0.0
3219.0       0.0
3219.1       0.0
3219.2       0.0
3219.3       0.0
3219.4       0.0
3219.5       0.0
3219.6       0.0
3219.7       0.0
3219.8       0.0
3219.9       0.0
3220.0       0.0
3220.1       0.0
3220.2       0.0
3220.3       0.0
3220.4       0.0
3220.5       0.0
3220.6       0.0
3220.7       0.0
3220.8       0.0
3220.9       0.0
3221.0       0.0
3221.1       0.0
3221.2       0.0
3221.3       0.0
3221.4       0.0
3221.5       0.0
3221.6       0.0
3221.7       0.0
3221.8       0.0
3221.9       0.0
3222.0       0.0
3222.1       0.0
3222.2       0.0
3222.3       0.0
3222.4       0.0
3222.5       0.0
3222.6       0.0
3222.7       0.0
3222.8       0.0
3222.9       0.0
3223.0       0.0
3223.1       0.0
3223.2       0.0
3223.3       0.0
3223.4       0.0
3223.5       0.0
3223.6       0.0
3223.7       0.0
3223.8       0.0
3223.9       0.0
3224.0       0.0
3224.1       0.0
3224.2       0.0
3224.3       0.0
3224.4       0.0
3224.5       0.0
3224.6       0.0
3224.7       0.0
3224.8       0.0
3224.9       0.0
3225.0       0.0
3225.1       0.0
3225.2       0.0
3225.3       0.0
3225.4       0.0
3225.5       0.0
3225.6       0.0
3225.7       0.0
3225.8       0.0
3225.9       0.0
3226.0       0.0
3226.1       0.0
3226.2       0.0
3226.3       0.0
3226.4       0.0
3226.5       0.0
3226.6       0.0
3226.7       0.0
3226.8       0.0
3226.9       0.0
3227.0       0.0
3227.1       0.0
3227.2       0.0
3227.3       0.0
3227.4       0.0
3227.5       0.0
3227.6       0.0
3227.7       0.0
3227.8       0.0
3227.9       0.0
3228.0       0.0
3228.1       0.0
3228.2       0.0
3228.3       0.0
3228.4       0.0
3228.5       0.0
3228.6       0.0
3228.7       0.0
3228.8       0.0
3228.9       0.0
3229.0       0.0
3229.1       0.0
3229.2       0.0
3229.3       0.0
3229.4       0.0
3229.5       0.0
3229.6       0.0
3229.7       0.0
3229.8       0.0
3229.9       0.0
3230.0       0.0
3230.1       0.0
3230.2       0.0
3230.3       0.0
3230.4       0.0
3230.5       0.0
3230.6       0.0
3230.7       0.0
3230.8       0.0
3230.9       0.0
3231.0       0.0
3231.1       0.0
3231.2       0.0
3231.3       0.0
3231.4       0.0
3231.5       0.0
3231.6       0.0
3231.7       0.0
3231.8       0.0
3231.9       0.0
3232.0       0.0
3232.1       0.0
3232.2       0.0
3232.3       0.0
3232.4       0.0
3232.5       0.0
3232.6       0.0
3232.7       0.0
3232.8       0.0
3232.9       0.0
3233.0       0.0
3233.1       0.0
3233.2       0.0
3233.3       0.0
3233.4       0.0
3233.5       0.0
3233.6       0.0
3233.7       0.0
3233.8       0.0
3233.9       0.0
3234.0       0.0
3234.1       0.0
3234.2       0.0
3234.3       0.0
3234.4       0.0
3234.5       0.0
3234.6       0.0
3234.7       0.0
3234.8       0.0
3234.9       0.0
3235.0       0.0
3235.1       0.0
3235.2       0.0
3235.3       0.0
3235.4       0.0
3235.5       0.0
3235.6       0.0
3235.7       0.0
3235.8       0.0
3235.9       0.0
3236.0       0.0
3236.1       0.0
3236.2       0.0
3236.3       0.0
3236.4       0.0
3236.5       0.0
3236.6       0.0
3236.7       0.0
3236.8       0.0
3236.9       0.0
3237.0       0.0
3237.1       0.0
3237.2       0.0
3237.3       0.0
3237.4       0.0
3237.5       0.0
3237.6       0.0
3237.7       0.0
3237.8       0.0
3237.9       0.0
3238.0       0.0
3238.1       0.0
3238.2       0.0
3238.3       0.0
3238.4       0.0
3238.5       0.0
3238.6       0.0
3238.7       0.0
3238.8       0.0
3238.9       0.0
3239.0       0.0
3239.1       0.0
3239.2       0.0
3239.3       0.0
3239.4       0.0
3239.5       0.0
3239.6       0.0
3239.7       0.0
3239.8       0.0
3239.9       0.0
3240.0       0.0
3240.1       0.0
3240.2       0.0
3240.3       0.0
3240.4       0.0
3240.5       0.0
3240.6       0.0
3240.7       0.0
3240.8       0.0
3240.9       0.0
3241.0       0.0
3241.1       0.0
3241.2       0.0
3241.3       0.0
3241.4       0.0
3241.5       0.0
3241.6       0.0
3241.7       0.0
3241.8       0.0
3241.9       0.0
3242.0       0.0
3242.1       0.0
3242.2       0.0
3242.3       0.0
3242.4       0.0
3242.5       0.0
3242.6       0.0
3242.7       0.0
3242.8       0.0
3242.9       0.0
3243.0       0.0
3243.1       0.0
3243.2       0.0
3243.3       0.0
3243.4       0.0
3243.5       0.0
3243.6       0.0
3243.7       0.0
3243.8       0.0
3243.9       0.0
3244.0       0.0
3244.1       0.0
3244.2       0.0
3244.3       0.0
3244.4       0.0
3244.5       0.0
3244.6       0.0
3244.7       0.0
3244.8       0.0
3244.9       0.0
3245.0       0.0
3245.1       0.0
3245.2       0.0
3245.3       0.0
3245.4       0.0
3245.5       0.0
3245.6       0.0
3245.7       0.0
3245.8       0.0
3245.9       0.0
3246.0       0.0
3246.1       0.0
3246.2       0.0
3246.3       0.0
3246.4       0.0
3246.5       0.0
3246.6       0.0
3246.7       0.0
3246.8       0.0
3246.9       0.0
3247.0       0.0
3247.1       0.0
3247.2       0.0
3247.3       0.0
3247.4       0.0
3247.5       0.0
3247.6       0.0
3247.7       0.0
3247.8       0.0
3247.9       0.0
3248.0       0.0
3248.1       0.0
3248.2       0.0
3248.3       0.0
3248.4       0.0
3248.5       0.0
3248.6       0.0
3248.7       0.0
